Timepoint,Tile,Rhodobacterales,Chitinophagales,Flavobacteriales,Cytophagales,Alteromonadales,Nostocales,Cellvibrionales,Vibrionales,Caulobacterales,Phormidesmiales
2,49,16.35,9.54,7.49,8.71,9.47,1.36,4.96,1.42,3.31,1.08
2,51,8,10.83,14.01,10.12,23.43,1.25,1.57,5.08,1.58,2.42
2,58,14.71,10.59,9.91,6.12,4.22,1.24,6.22,4.69,3.25,0.96
2,60,12.37,12.21,8.9,7.69,17.03,3.96,2.87,2.18,3.09,3.05
2,61,14.6,9.76,8.29,10.49,8.68,2.35,3.8,2.63,4.8,0.83
2,63,12.82,12.99,8.4,9.29,13.51,6.03,2.5,1.99,4.19,1.53
2,64,12.4,10.15,10.31,7.94,5.34,2.23,6.06,1.95,3.04,0.88
2,66,12.78,9.06,9.56,8.24,15.37,3.84,2.38,1.49,3.94,4.45
2,70,16.98,9.65,8.08,6.76,2.36,2.57,6.98,1.15,3.59,1.54
2,72,15.06,14.48,5.33,8.93,12.83,4.95,3.51,0.61,3.91,3.21
2,73,15.73,13.96,9.74,7.5,5.25,2.64,4.85,3.17,3.09,1.23
2,76,14.87,12.38,8.09,7.54,10.79,2.39,4.23,2.49,4.42,1.35
2,79,12.64,12.28,8.89,7.75,7.85,3.6,4.06,2.43,3.72,1.96
2,81,10.42,10.49,5.59,6.93,25,1.97,3.29,2.13,5.29,1.3
3,49,8.66,4.79,7.68,7.01,23.53,1.26,7.29,1.91,2.97,2.8
3,51,9.42,7.95,7.99,9.15,16.02,5.31,3.77,3.06,1.52,3.15
3,58,7.52,7.54,9.43,8.72,3.22,4.55,7.49,5.57,1.31,1.66
3,60,11.51,7.4,9.17,8.94,10.43,4.31,3.21,4.16,2.9,5.81
3,61,10.68,7.99,7.14,12.09,3.06,12.3,3.05,1.33,4.18,2.73
3,63,9.12,7.96,14.56,11.94,6.43,11.11,2.76,0.82,2.9,3.55
3,64,7.36,6.39,7.88,8.03,1.49,5.47,8.1,2.35,1.48,0.77
3,66,9.02,6.29,11.4,9.42,9.41,4.4,4.93,2.65,3.14,5.26
3,70,12.94,7.45,9.7,7.69,1.8,5.58,8.28,0.85,2.32,0.87
3,72,8.75,9.7,8.37,9.52,6.46,6.78,5.64,2.01,2.41,4.42
3,73,5.45,3.99,3.32,6.63,5.74,8.28,6.96,2.9,2.69,2.53
3,75,11.24,7.73,11.98,8.28,4.25,7.85,3.05,2.16,2.63,6.62
3,76,8.31,7.45,7.38,6.12,4.78,11.32,5.94,1.64,3.02,3.84
3,79,7.34,8.11,8.43,10.65,3.65,13.22,3.01,0.61,3.96,4.25
3,81,11.64,11.4,7,10.51,4.21,7.65,4.55,0.72,3.72,4.92
4,49,10.97,9.9,11.18,7.34,3.22,8.82,6.43,2.29,3.01,2.05
4,51,10.03,7.24,16.69,6.87,19.88,3.31,4.15,1,1.41,3.07
4,58,11.55,7.47,9.54,8.11,2.71,9.83,5.05,1.67,2.72,2.69
4,60,11.47,8.05,12.82,7.11,18.41,7.81,2.32,0.58,2.29,4.73
4,61,11.44,7.44,9.25,9.36,6.1,7.85,3.77,3.01,5.23,2.08
4,63,8.76,9.51,18.75,7.07,10.51,3.67,2.91,3.99,2.84,2.21
4,64,8.05,7.3,8.68,6.53,1.92,7.95,6.15,1.38,1.17,2.43
4,66,12.75,10.81,11.98,9.87,6.78,7.25,2.72,0.51,5.66,3.6
4,70,11.37,7.71,9.87,5.41,2.19,1.82,9.03,2.47,1.89,0.56
4,72,9.58,8.27,13.05,6.32,10.77,3.43,5.91,4.69,2.7,3.16
4,73,7.67,13.93,14.82,5.64,1.12,3.89,3,1.59,8.33,2.73
4,75,7.07,6.85,13.1,6.76,7.73,7.83,2.47,0.74,1.63,14.75
4,76,7.65,5.76,10.19,8.26,4.34,4.5,5.92,5.36,1.89,1.68
4,79,9.98,11.02,12.08,6.66,7.98,4.58,2.95,3.81,3.72,3.48
4,81,10.32,10.49,12.68,8.23,7.18,3.69,3.88,2.63,4.61,3.25
5,49,20.13,4.09,6.58,6.64,3.31,2.82,6.11,1.87,5.28,1.2
5,51,9.5,11.43,12.05,6.35,11.86,2.06,3.74,4.24,2.03,1.27
5,58,10.3,7.67,13.03,8.83,5.05,3.01,7.84,5.8,2.56,1.62
5,60,10.07,8.39,11.97,8.06,21.58,5.37,2.22,1.75,1.61,2.9
5,61,9.24,10.1,7.95,9.49,6.59,8.4,2.99,1.82,5.06,3.43
5,63,13.11,9.36,14.11,7.24,12.48,5.18,2.29,0.91,2.92,3.08
5,64,4.75,4.54,7.9,6.88,2.98,2.79,8.81,2.49,0.71,1.08
5,66,10.68,12.57,13.92,7.99,7.11,3.73,3.62,2.08,4.33,1.87
5,70,6.06,8.18,7.57,10,0.82,7.77,7.16,0.67,1.15,0.61
5,72,9.35,10.66,10.73,8.76,15.62,5.31,3.44,1.15,2.58,2.6
5,73,11.01,12.36,11.13,4.64,8.19,3.48,7.42,5.46,3.64,0.98
5,75,12.91,11.99,15.13,6.71,7.53,4.41,3.2,2.73,3.78,2.01
5,76,13.07,7.81,9,9.36,9.49,7.42,3.1,1.72,4.13,2.45
5,79,10.04,13.8,9.69,8.11,9.05,7.64,2.66,1.73,2.98,3.95
5,81,12.44,13.44,9.36,8.25,9.34,6.54,3.37,1.01,4.31,3.24
