number.of.successes,number.of.failures,Timepoint,Plot_treatment,Tile,Bare,CCA,EAM,Inverts,Lobophora,NCCA,Sand,Turf,Rhodobacterales,Chitinophagales,Flavobacteriales,Cytophagales,Alteromonadales,Nostocales,Cellvibrionales,Vibrionales,Caulobacterales,Phormidesmiales,Survival,Carnivore,Detritivore_Grazer,Excavator,Grazer,Omnivore,Scraper,Total,Herbivores
8,641,2,Normal,63,7.52217775,-0.214732777,2.310567772,-0.420653245,-0.418561694,-0.450489119,-0.660882618,-1.321298928,0.672185795,1.433106665,-0.602148351,0.797710844,0.811938455,0.257067018,-1.059957731,-0.239631532,0.731011616,-0.59437064,0.012326656,0.115384615,0,0.076923077,0,0,0,0.192307692,0.076923077
0,294,2,Normal,72,0.52883754,1.55753094,-0.642459126,-0.420653245,-0.418561694,-0.450489119,-0.511081147,-0.58269434,1.435579064,2.011653721,-1.658795616,0.564170136,0.699471355,-0.116571449,-0.544089704,-1.220566642,0.525177085,0.207617079,0,0.00862069,0.612068965,0,0.086206896,0,0.051724139,0.75862069,0.75
4,752,2,Normal,81,-0.141245882,1.641310679,-0.399889059,-0.420653245,-0.418561694,-0.450489119,-0.660882618,-0.508833881,-0.145735564,0.462390128,-1.569307574,-0.733278238,2.712301657,-1.147536847,-0.656456997,-0.140116376,1.53964727,-0.704166578,0.005291005,0,0.020408163,0,0,0,0,0.020408163,0.020408163
18,678,2,Nutrient,51,-0.141245882,1.563975535,-0.642459126,-0.420653245,-0.418561694,-0.450489119,-0.061676735,-0.656554799,-0.970472935,0.594407577,1.328728248,1.336151919,2.452634971,-1.396629158,-1.534964923,1.956810128,-1.187660256,-0.169508098,0.025862069,0.315789474,1.090225565,0,0,0,0,1.406015039,1.090225565
41,817,2,Nutrient,60,-0.141245882,1.715423525,0.337928227,-0.420653245,-0.418561694,-0.450489119,-0.511081147,-0.878136175,0.51882554,1.130243105,-0.430055962,-0.240247856,1.394121089,-0.459073376,-0.870976374,-0.104575249,-0.077624039,0.131237296,0.047785548,0.524193548,0.620967742,0,0,0,0,1.14516129,0.620967742
53,1015,2,Nutrient,66,-0.141245882,2.162482301,0.370007239,-0.420653245,-0.418561694,0.060053678,-0.660882618,-1.321298928,0.658553773,-0.092859731,-0.202894009,0.116550447,1.119569051,-0.500588762,-1.121248981,-0.595042804,0.547230785,0.799560395,0.049625468,0,0.117021277,0,0,0,0.021276596,0.138297873,0.138297873
7,1,3,Normal,63,-0.141245882,0.304057148,1.085852599,-0.420653245,-0.418561694,1.506591604,-0.660882618,-0.065671128,-0.588776301,-0.519975007,1.518029876,2.516829939,-0.359042526,2.014551657,-0.927160021,-1.071293908,-0.21729747,0.369924117,0.875,0.058823529,1.218487395,0.042016807,0,0,0,1.319327731,1.260504202
0,0,3,Normal,72,-0.141245882,-0.343624683,3.592409954,-0.420653245,-0.418561694,0.019210254,-0.511081147,0.023576926,-0.71487251,0.155643702,-0.612473894,0.946917407,-0.354080742,0.516538175,0.543829995,-0.225415081,-0.577507898,0.785239186,0,0.976,0.312,0.608,0.256,0,0,2.152,1.176
0,4,3,Normal,81,-0.141245882,-0.018172619,1.853991144,-0.420653245,-0.418561694,-0.450489119,-0.511081147,0.315941242,0.270041127,0.815730947,-1.084007038,1.589154352,-0.726214529,0.817524718,-0.012898865,-1.142376162,0.385503654,1.023926007,0,0,0.269230769,0,0,0,0,0.269230769,0.269230769
16,2,3,Nutrient,51,-0.141245882,1.254634959,0.085251074,-0.420653245,-0.418561694,-0.450489119,-0.660882618,-0.287252505,-0.486536131,-0.523857873,-0.743264109,0.706889457,1.227074368,0.007974707,-0.411291994,0.52094859,-1.231767655,0.17897466,0.888888889,0.906779661,0.923728814,0,0,0,0,1.830508475,0.923728814
