,1AO_17,1AO_20,1AO_23,1AO_22,1AC_17,1AC_20,1AC_23,1AC_22,1NO_16,1NO_18,1NO_21,1NO_10,1NC_16,1NC_18,1NC_21,1NC_10,2AO_17,2AO_20,2AO_23,2AO_22,2AC_17,2AC_20,2AC_23,2AC_22,2NO_16,2NO_18,2NO_21,2NO_10,2NC_16,2NC_18,2NC_21,2NC_10,3AO_17,3AO_20,3AO_23,3AO_22,3AC_17,3AC_20,3AC_23,3AC_22,3NO_16,3NO_18,3NO_10,3NC_16,3NC_18,3NC_21,3NC_10,4AO_17,4AO_20,4AO_23,4AO_22,4AC_17,4AC_20,4AC_23,4AC_22,4NO_16,4NO_18,4NO_21,4NO_10,4NC_16,4NC_18,4NC_21,4NC_10,5AO_17,5AO_20,5AO_23,5AO_22,5AC_17,5AC_20,5AC_23,5AC_22,5NO_16,5NO_18,5NO_21,5NO_10,5NC_16,5NC_18,5NC_21,5NC_10,6AO_17,6AO_20,6AO_23,6AO_22,6AC_17,6AC_20,6AC_23,6AC_22,6NO_16,6NO_18,6NO_21,6NO_10,6NC_16,6NC_18,6NC_21,6NC_10
o51__Bacteria_Cyanobacteria_Oxyphotobacteria_Synechococcales,3.451638482,0.97519962,8.569127517,7.660130022,4.76218091,3.20339816,8.629067135,4.955449463,6.123052442,5.628852679,3.590425532,4.473891838,3.760828242,3.509090926,2.983042751,1.315959788,5.461228094,3.500404119,4.541084143,6.742806366,4.551674732,0.433683551,2.438151479,5.17077508,4.617080487,4.557919599,3.233017518,4.242109783,0.833536352,3.235660571,5.812962461,2.50491027,1.304336975,0.745227983,1.135346493,4.18517918,1.383021207,0.625207877,2.479993661,1.911244215,1.315031584,1.173778939,0.865162174,1.126957963,0.817087979,2.026190201,0.578354242,0.927531566,0.808005255,0.527507061,0,0.342413603,0.297597753,0.337576264,0.601108293,0.712535412,0.583793595,0.977871444,0.904171519,0.598911215,0.512896109,2.675532336,0.798393574,1.446950793,0.865249469,1.036493748,2.56900245,0.932793874,1.478762537,1.897205933,2.264400886,1.513705114,0.896490393,2.327471245,0.850310354,1.205033027,1.733771839,1.633920905,1.327067545,1.505321774,0.991737965,1.134729845,1.830692911,1.415023878,0.630953108,0.926722512,1.050272174,0.775991056,1.530448614,1.072428972,2.25787669,0.921150174,0.794856598,1.224718054,0.068872079
o109__Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales,0.819073757,0.83823603,0.492170022,0.652776298,0.682418119,0.80494007,0.656338243,0.635706809,0.584800894,1.18825026,0.640343699,0.559460623,0.528597733,0.965899798,0.945784571,1.065711697,1.231797326,1.46115099,1.590353932,1.119880825,0.720971599,1.904079233,1.471838232,0.855408389,0.880213539,2.149244455,0.96415999,1.239891219,1.220392498,1.404898804,1.080850734,1.541690209,2.695448601,2.15955792,1.765047659,2.180963191,2.365080826,2.257332265,1.592583789,1.113531173,1.453096004,2.051872664,0.893489448,1.527834574,1.907935088,1.781792361,1.720887377,3.304228236,2.071695172,2.710488412,3.953611741,2.674346063,1.35095806,1.337916938,1.176723155,1.441826023,1.661756318,2.963119073,2.339201315,1.240966895,1.164297443,3.298240059,1.085943775,2.870649687,3.0958785,2.947767846,2.168318205,2.980937131,1.374368112,1.624384584,1.639310331,2.274801974,4.060203495,4.021503584,2.899227521,2.291309076,2.0140284,0.893984545,1.085481682,4.500704837,2.602261358,4.322485893,3.04368699,2.42851007,2.103660266,1.965134707,2.205571566,2.758208367,2.744534093,4.049619848,3.778223459,1.975553793,1.35724416,1.836145027,2.60133228
o141__Bacteria_Proteobacteria_Gammaproteobacteria_Cellvibrionales,4.447234325,3.469676805,2.867114094,3.49301929,4.680464122,5.660120646,3.808288178,4.457606781,5.46809171,3.458599094,2.54091653,3.987950079,5.516130963,4.691006239,4.556962025,5.857099711,2.358992783,3.295147714,3.773192662,2.515484933,3.716452929,6.402948065,3.839902176,3.79261712,2.415589659,3.174356312,2.733701727,2.64796393,6.281183849,4.620446561,2.574284275,9.05373046,2.499337892,3.512448134,3.289835273,3.693854386,3.795688383,6.982833647,4.423843858,4.228151375,2.866714847,2.383998693,1.569803125,6.216212286,6.062372521,4.849976056,4.961372174,2.761621478,5.635876044,4.553021942,1.626830922,3.047952816,8.278310268,4.393136982,5.935944397,3.206197967,4.926623317,3.050228311,3.769093774,7.488799221,8.101366292,6.955328637,7.294779116,2.912128012,5.913942596,3.878574885,2.687666631,3.774348885,9.0327374,3.222114209,5.915592077,2.317034106,2.718748662,2.467077846,4.152316463,5.050166692,6.147083697,2.997626143,6.426845815,2.294420583,3.439924393,3.367086651,2.6756281,2.993862166,7.157780488,2.65187533,3.099583734,2.216571822,3.616097179,3.198079232,3.744258265,7.838500569,8.812443181,7.424736695,6.109292085
o170__Bacteria_Proteobacteria_Gammaproteobacteria_SAR86 clade,0.658286646,0.217150089,1.607158837,1.228285197,0.502984077,0.360523776,1.030298405,0.495289642,0.855137573,0.454447853,0.171849427,0.416009181,0.42229935,0.624801534,0.219727729,0.086292445,0.521776723,0.53891472,0.223481108,0.280950265,0.495757599,0.022906814,0.223683622,1.410350748,0.490854301,0.303948953,0.324868642,0.330995491,0.011446282,0.284394168,0.6392128,0.320176501,0.107422881,0.097398295,0.215134813,0.345386736,0.099838349,0.053595873,0.540105116,0.168799347,0.077207845,0.129194461,0.453236391,0.079907367,0.080365869,0.107336889,0.056701396,0.100735711,0.172431808,0.059858957,0,0.096799834,0.060267712,0.096007928,0.202605697,0.231437029,0.231481169,0.244467861,0.217480649,0.091121644,0.149135036,0,0.215261044,0.087075574,0.051188031,0.064940026,0.26044476,0.053943812,0.237379085,0.282228982,0.430525945,0.175372276,0.098821177,0.079179863,0.044753177,0.103068863,0.193768285,0.207081166,0.099281861,0.138159816,0.1522889,0.024735255,0.07681229,0.091810202,0.036104885,0.027167761,0.075568364,0.017229992,0.135707608,0.041616647,0.050139096,0.030214849,0.04870829,0.121166931,0
o171__Bacteria_Proteobacteria_Gammaproteobacteria_Steroidobacterales,0.710484776,0.399640824,0.828635347,1.047106469,1.17448476,0.508955768,0.178076268,0.459547091,0.59366846,0.415167545,0.849018003,0.645531488,0.993899556,0.830130411,1.031764987,1.630927212,0.539804183,0.515464781,0.809469362,0.445600188,0.574976315,1.989013092,0.984207936,0.53807947,0.451348749,0.536408397,0.708234532,0.536749445,1.748585338,1.185250418,0.251811103,2.632711814,0.458909611,0.570423866,0.483660747,0.392411221,0.527225987,0.966771125,0.590286031,0.588075143,0.49531151,0.473728359,0.296256079,1.168782651,1.489291405,0.407880179,0.929902899,0.397530221,0.841816267,1.083073009,0,0.565377367,1.357373599,0.548174301,0.880194287,0.526283556,0.782239779,0.587284861,0.436673745,1.101863396,1.28917622,0.609514763,0.986345382,0.395872445,0.617127345,0.449486846,0.476197815,0.419288801,2.072178651,0.598952617,1.548237534,0.369227429,0.465204535,0.325054176,0.400832798,1.277125868,2.075964442,0.34850245,1.591819175,0.485268311,0.393934066,0.69567906,0.598495759,0.457631161,1.746323919,0.543355218,0.395773295,1.048233834,0.443565306,0.344137655,0.656660413,0.968538719,2.810662887,0.6188834,0.282262617
o14__Bacteria_Acidobacteria_Thermoanaerobaculia_Thermoanaerobaculales,0.29913744,0.175697662,0.263087248,0.476926356,0.66477475,1.03629693,0.424839095,0.426357579,0.14856292,0.764084084,0.456219313,0.609668627,0.528599798,0.776065724,0.704561739,1.266341632,0.167748382,0.893000988,0.388493322,0.223453467,0.18103972,0.610366189,1.464382111,0.377115526,0.256849242,0.286488808,0.76673178,0.322049667,0.326202848,1.177317583,0.30604734,0.898646649,0.119614927,0.348382111,0.191579906,0.071347495,0.11323283,0.642028727,0.305047144,0.313095562,0.150328341,0.104162553,0,0.465496528,0.56343539,0.142014961,0.644978383,0.139883437,0.285166701,0.192671019,0,0.269164244,0.35092647,0.173433677,0.614525889,0.112976489,0.122766157,0.130663857,0.18665662,0.399733036,0.721948984,0.762553102,0.157429719,0.09355979,0.127171843,0.168080067,0.157191512,0.232071247,0.622660223,0.114459531,0.33324364,0.123065338,0.117505308,0.050008335,0.064211079,0.618963447,0.726762537,0.467195313,0.054605024,0.071583212,0.280700412,0.177784649,0.049607937,0.196665787,1.313076122,0.182627726,0.335574768,0.059992341,0.134256004,0.12805122,0.08895646,0.95305566,0.916332194,0.253518501,0.015806707
o111__Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales,0.321241073,0.696780823,0.234451902,0.354364276,0.298654461,1.46147747,0.898013178,0.735275345,1.242984788,0.334779517,0.210720131,0.281523454,1.816525671,0.61111771,0.406018629,1.557578634,0.240135128,0.41578058,0.366405073,0.294017719,0.22734448,3.410105893,0.782892677,0.751165072,0.290872727,0.301799184,0.31024433,0.225434767,6.287587643,5.124121643,0.300236315,4.569914171,0.339689793,0.590485043,0.222986448,0.356737474,1.567562422,4.938656316,1.737844334,0.427443507,0.216158116,0.613827967,0.472121241,7.529276491,5.63278854,0.500355037,5.843078886,0.115343127,0.136743882,0.06172955,0,0.384305412,2.774108507,0.190467342,0.340806934,0.081710398,0.118562385,0.073059361,0.217480649,0.988566349,2.766227027,0,0.313253012,0.037254381,0.062298549,0.076400031,0.041609518,0.935864892,1.690552754,0.144250368,0.637509573,0.083994032,1.0203236,0.004167361,0.126476368,0.972383632,0.991686169,0.406586191,0.385544561,0.201821783,0.453672922,0.284455438,0.881741079,2.981709483,0.976602301,0.821070108,2.920268972,0.404928139,3.242672614,0.318527411,0.218347674,1.309095212,0.318735606,0.415695778,7.668510782
o135__Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales,3.26250833,8.872799761,2.430425056,1.953000107,2.646086177,8.288029614,4.15172098,3.321504251,5.027936902,5.368199507,4.181669394,5.463706785,2.647511865,4.111020758,2.514927155,2.994347845,7.080566807,9.271125687,5.57793254,13.80184512,5.379779978,3.443557674,5.331126322,6.758952661,11.64755088,10.50737454,6.307256792,12.82473341,2.738719277,4.053819823,7.999845039,2.032717195,13.50586131,12.83449973,24.99646676,10.20269175,8.683533546,2.36481275,5.50405409,10.79499047,17.02508538,15.37290351,23.42665597,4.22076371,5.338779452,5.247948214,9.471968247,6.428054757,6.462466586,4.208832937,2.368041024,3.061325942,1.795883285,4.922729103,4.782031156,10.42785466,9.406839552,4.252897787,16.01650798,3.215618764,1.490105029,5.744214887,23.52610442,10.5103218,10.77174183,7.177782871,10.26984543,6.09865995,2.189085526,5.680642228,4.344586343,18.40793344,6.782665584,7.734622437,19.88208511,2.710783343,1.920435039,1.116217991,3.216732303,12.48061931,15.61697275,9.340650846,9.646343415,6.594392362,0.822406392,8.447664327,9.492154979,21.57576867,7.107559966,7.529411765,11.85547001,5.053118202,2.978773787,8.194612732,3.306988822
o73__Bacteria_Kiritimatiellaeota_Kiritimatiellae_WCHB1-41,0.022806908,0,0.023266219,0.007993179,0.016103333,0.01310729,0.010175787,0.017871276,0.030982144,0.01465258,0.004091653,0.007172572,0.082968639,0.020681928,0.007165035,0.012943867,0.013589821,0.010405391,0.01039447,0,0.077914583,0.026887392,0.068596311,0.013796909,0.021634805,0.023182444,0.014624312,0.008945824,0.047562018,0.03994681,0.034866153,0.107622353,0.006342137,0.011288426,0.007851635,0.019458408,0.013781112,0.167868783,0.047539815,0,0.021434358,0.012734287,0,0.003194276,0.031052806,0,0.032603303,0.020573708,0.064064925,0.005611777,0,0.028066497,0.481299049,0.147108923,0.124783641,0.024736438,0.064483594,0.022479803,0.029111583,0.191294201,1.187275241,0,0.125301205,0.003770967,0.006192515,0.01655334,0,0.007616581,0.373281261,0.036062592,0.080723615,0.002246922,0.00886228,0,0,0.112561362,0.408765635,0,0.06453321,0.008880206,0.01425954,0,0.004800768,0.005063086,0.288754321,0.037733001,0.023054755,0.005025414,0.039984171,0,0.042052145,0.057850304,0.121821534,0.013048746,0
o75__Bacteria_Lentisphaerae_Lentisphaeria_Lentisphaerales,0.779622238,0.171514767,0.572706935,0.133219653,1.872004387,0.172183457,0.376504108,0.423804539,0.62580511,0.287280192,0.687397709,0.600702912,0.238374687,0.553446898,0.460950561,0.062562023,0.372433532,0.302416632,0.354711294,0.432532734,0.612042476,0.098476291,0.313157071,0.334191808,0.398300854,0.228264143,0.222498459,0.347097975,0.023480879,0.23544565,0.606283656,0.104931794,0.073637328,0.10766671,0.075375701,0.068104427,0.104976023,0.073620054,0.110926234,0.25047645,0.10465772,0.112571343,0.637363675,0.179547611,0.069387044,0.115593573,0.070876745,0.175942932,0.262429881,0.274977085,0,0.207398036,0.074828737,0.243116851,0.307262945,0.204252867,0.34846584,0.279592554,0.181519282,0.295195667,0.288599493,0.007915776,0.252208835,0.125135504,0.194707023,0.362900145,0.231163988,0.1042997,0.191172805,0.373169431,0.107631486,0.086478998,0.130130877,0.06876146,0.165392174,0.186659914,0.372953841,0.060609122,0.198563722,0.029744807,0.051476578,0.058746232,0.121619459,0.103755749,0.042470492,0.083012603,0.137047711,0.095673266,0.140197313,0.113645458,0.384938863,0.164475699,0.219352225,0.132351571,0.040645817
