Nutrients,Caging,Microhabitat,All_herbivores,Detritivore_Grazer,Grazer,Omnivore,Scraper,Excavator,All_fish
Ambient,Open,Crevice,0.3359375,0,0.3359375,0,0,0,0.671875
Ambient,Open,Side,0.25,0.0859375,0.1640625,0,0,0,0.5
Ambient,Open,Crown,0.015625,0,0.015625,0,0,0,0.03125
Ambient,Partial,Crevice,0.1015625,0.0703125,0.03125,0,0,0,0.203125
Ambient,Partial,Side,0.5234375,0.40625,0.1171875,0,0,0,1.046875
Ambient,Partial,Crown,0.1171875,0.0703125,0.046875,0,0,0,0.234375
Ambient,Open,Crevice,0.173553719,0.008264463,0.165289256,0,0,0,0.347107438
Ambient,Open,Side,0.41322314,0.008264463,0.404958678,0,0,0,0.826446281
Ambient,Open,Crown,0.082644628,0.008264463,0.074380165,0,0,0,0.165289256
Ambient,Partial,Crevice,0.297520661,0.140495868,0.157024793,0,0,0,0.595041322
Ambient,Partial,Side,0.429752066,0.181818182,0.247933884,0,0,0,0.859504132
Ambient,Partial,Crown,0.272727273,0.074380165,0.198347107,0,0,0,0.545454545
Ambient,Open,Crevice,0.269230769,0.269230769,0,0,0,0,0.538461538
Ambient,Open,Side,0.4,0.384615385,0.015384615,0,0,0,0.8
Ambient,Open,Crown,0.307692308,0.307692308,0,0,0,0,0.615384615
Ambient,Partial,Crevice,0.523076923,0.523076923,0,0,0,0,1.046153846
Ambient,Partial,Side,0.330769231,0.330769231,0,0,0,0,0.661538462
Ambient,Partial,Crown,0.561538462,0.561538462,0,0,0,0,1.123076923
Nutrient,Open,Crevice,0.695035461,0.695035461,0,0,0,0,1.390070922
Nutrient,Open,Side,0.716312057,0.716312057,0,0,0,0,1.432624113
Nutrient,Open,Crown,0.177304965,0.177304965,0,0,0,0,0.354609929
Nutrient,Partial,Crevice,0.382978723,0.382978723,0,0,0,0,0.765957447
Nutrient,Partial,Side,0.326241135,0.326241135,0,0,0,0,0.65248227
Nutrient,Partial,Crown,0.241134752,0.241134752,0,0,0,0,0.482269504
Nutrient,Open,Crevice,0.15942029,0.15942029,0,0,0,0,0.31884058
Nutrient,Open,Side,0.036231884,0.036231884,0,0,0,0,0.072463768
Nutrient,Open,Crown,0.086956522,0.086956522,0,0,0,0,0.173913043
Nutrient,Partial,Crevice,0.652173913,0.652173913,0,0,0,0,1.304347826
Nutrient,Partial,Side,0.608695652,0.608695652,0,0,0,0,1.217391304
Nutrient,Partial,Crown,0.746376812,0.746376812,0,0,0,0,1.492753623
Nutrient,Partial,Crevice,0.413043478,0.413043478,0,0,0,0,0.826086957
Nutrient,Partial,Side,0.152173913,0.130434783,0,0,0,0.02173913,0.304347826
Nutrient,Partial,Crown,0.224637681,0.224637681,0,0,0,0,0.449275362
Ambient,Open,Crown,0.076923077,0,0,0,0,0.076923077,0.153846154
Ambient,Open,Crevice,0.137931034,0.077586207,0.051724138,0,0.00862069,0,0.275862069
Ambient,Open,Side,0.465517241,0.413793103,0.017241379,0,0.034482759,0,0.931034483
Ambient,Open,Crown,0.146551724,0.120689655,0.017241379,0,0.00862069,0,0.293103448
Ambient,Partial,Crevice,0.112068966,0.112068966,0,0,0,0,0.224137931
Ambient,Partial,Side,0.620689655,0.560344828,0,0,0,0.060344828,1.24137931
Ambient,Partial,Crown,0.370689655,0.370689655,0,0,0,0,0.74137931
Ambient,Open,Crevice,0.020408163,0.020408163,0,0,0,0,0.040816327
Ambient,Partial,Crevice,0.285714286,0.224489796,0,0,0.06122449,0,0.571428571
Ambient,Partial,Side,0.040816327,0.040816327,0,0,0,0,0.081632653
Ambient,Partial,Crown,0.612244898,0.551020408,0,0,0.06122449,0,1.224489796
Nutrient,Open,Crevice,0.315789474,0.315789474,0,0,0,0,0.631578947
Nutrient,Open,Side,0.421052632,0.421052632,0,0,0,0,0.842105263
Nutrient,Open,Crown,0.353383459,0.353383459,0,0,0,0,0.706766917
Nutrient,Partial,Crevice,0.037593985,0.007518797,0,0,0.030075188,0,0.07518797
Nutrient,Partial,Side,0.15037594,0.15037594,0,0,0,0,0.30075188
Nutrient,Partial,Crown,0.195488722,0.082706767,0.030075188,0,0.067669173,0.015037594,0.390977444
Nutrient,Open,Side,0.120967742,0.120967742,0,0,0,0,0.241935484
Nutrient,Open,Crown,0.5,0.5,0,0,0,0,1
Nutrient,Partial,Side,0.435483871,0.435483871,0,0,0,0,0.870967742
Nutrient,Partial,Crown,0.588709677,0.588709677,0,0,0,0,1.177419355
Nutrient,Open,Side,0.138297872,0.117021277,0,0,0.021276596,0,0.276595745
Nutrient,Partial,Side,0.042553191,0,0,0,0.042553191,0,0.085106383
Ambient,Open,Side,0.277310924,0.277310924,0,0,0,0,0.554621849
Ambient,Open,Crown,0.983193277,0.941176471,0,0,0,0.042016807,1.966386555
Ambient,Partial,Side,0.042016807,0.042016807,0,0,0,0,0.084033613
Ambient,Partial,Crown,0.714285714,0.663865546,0,0,0,0.050420168,1.428571429
Ambient,Open,Side,0.656,0.088,0.184,0,0,0.384,1.312
Ambient,Open,Crown,0.52,0.224,0.072,0,0,0.224,1.04
Ambient,Partial,Side,0.48,0.4,0,0,0,0.08,0.96
Ambient,Partial,Crown,1.36,0.664,0.432,0,0,0.264,2.72
Ambient,Open,Side,0.115384615,0.115384615,0,0,0,0,0.230769231
Ambient,Open,Crown,0.153846154,0.153846154,0,0,0,0,0.307692308
Ambient,Partial,Side,0.038461538,0,0,0,0,0.038461538,0.076923077
Ambient,Partial,Crown,1.615384615,0.5,0.807692308,0,0,0.307692308,3.230769231
Nutrient,Open,Crevice,0.042372881,0.042372881,0,0,0,0,0.084745763
Nutrient,Open,Side,0.330508475,0.330508475,0,0,0,0,0.661016949
Nutrient,Open,Crown,0.550847458,0.550847458,0,0,0,0,1.101694915
Nutrient,Partial,Side,0.559322034,0.559322034,0,0,0,0,1.118644068
Nutrient,Partial,Crown,0.991525424,0.991525424,0,0,0,0,1.983050847
Nutrient,Open,Side,0.426229508,0.426229508,0,0,0,0,0.852459016
Nutrient,Open,Crown,0.942622951,0.942622951,0,0,0,0,1.885245902
Nutrient,Partial,Crown,0.450819672,0.450819672,0,0,0,0,0.901639344
