Tile,Caging,Plot,Nutrients,Microhabitat,Time,Status,Count
49,Caged,10,Nutrient,Crown,4,Dead,165
50,Partial,10,Nutrient,Crown,4,Dead,193
51,Open,10,Nutrient,Crown,4,Dead,500
52,Caged,14,Normal,Crown,4,Dead,310
53,Partial,14,Normal,Crown,4,Dead,463
54,Open,14,Normal,Crown,4,Dead,365
55,Caged,15,Nutrient,Crown,4,Dead,284
56,Partial,15,Nutrient,Crown,4,Dead,574
57,Open,15,Nutrient,Crown,4,Dead,653
58,Caged,16,Nutrient,Crown,4,Dead,50
59,Partial,16,Nutrient,Crown,4,Dead,228
60,Open,16,Nutrient,Crown,4,Dead,712
61,Caged,17,Normal,Crown,4,Dead,274
62,Partial,17,Normal,Crown,4,Dead,416
63,Open,17,Normal,Crown,4,Dead,536
64,Caged,18,Nutrient,Crown,4,Dead,323
65,Partial,18,Nutrient,Crown,4,Dead,342
66,Open,18,Nutrient,Crown,4,Dead,676
67,Caged,19,Normal,Crown,4,Dead,666
68,Partial,19,Normal,Crown,4,Dead,407
69,Open,19,Normal,Crown,4,Dead,490
70,Caged,20,Normal,Crown,4,Dead,156
71,Partial,20,Normal,Crown,4,Dead,669
72,Open,20,Normal,Crown,4,Dead,272
73,Caged,21,Nutrient,Crown,4,Dead,384
74,Partial,21,Nutrient,Crown,4,Dead,617
75,Open,21,Nutrient,Crown,4,Dead,177
76,Caged,22,Normal,Crown,4,Dead,355
77,Partial,22,Normal,Crown,4,Dead,421
78,Open,22,Normal,Crown,4,Dead,596
79,Caged,23,Normal,Crown,4,Dead,255
80,Partial,23,Normal,Crown,4,Dead,259
81,Open,23,Normal,Crown,4,Dead,627
82,Caged,24,Nutrient,Crown,4,Dead,167
83,Partial,24,Nutrient,Crown,4,Dead,323
84,Open,24,Nutrient,Crown,4,Dead,519
49,Caged,10,Nutrient,Crevice,4,Dead,99
50,Partial,10,Nutrient,Crevice,4,Dead,36
51,Open,10,Nutrient,Crevice,4,Dead,178
52,Caged,14,Normal,Crevice,4,Dead,158
53,Partial,14,Normal,Crevice,4,Dead,59
54,Open,14,Normal,Crevice,4,Dead,176
55,Caged,15,Nutrient,Crevice,4,Dead,72
56,Partial,15,Nutrient,Crevice,4,Dead,78
57,Open,15,Nutrient,Crevice,4,Dead,110
58,Caged,16,Nutrient,Crevice,4,Dead,20
59,Partial,16,Nutrient,Crevice,4,Dead,45
60,Open,16,Nutrient,Crevice,4,Dead,105
61,Caged,17,Normal,Crevice,4,Dead,27
62,Partial,17,Normal,Crevice,4,Dead,97
63,Open,17,Normal,Crevice,4,Dead,105
64,Caged,18,Nutrient,Crevice,4,Dead,88
65,Partial,18,Nutrient,Crevice,4,Dead,56
66,Open,18,Nutrient,Crevice,4,Dead,339
67,Caged,19,Normal,Crevice,4,Dead,103
68,Partial,19,Normal,Crevice,4,Dead,86
69,Open,19,Normal,Crevice,4,Dead,38
70,Caged,20,Normal,Crevice,4,Dead,36
71,Partial,20,Normal,Crevice,4,Dead,71
72,Open,20,Normal,Crevice,4,Dead,22
73,Caged,21,Nutrient,Crevice,4,Dead,68
74,Partial,21,Nutrient,Crevice,4,Dead,50
75,Open,21,Nutrient,Crevice,4,Dead,33
76,Caged,22,Normal,Crevice,4,Dead,50
77,Partial,22,Normal,Crevice,4,Dead,85
78,Open,22,Normal,Crevice,4,Dead,181
79,Caged,23,Normal,Crevice,4,Dead,54
80,Partial,23,Normal,Crevice,4,Dead,126
81,Open,23,Normal,Crevice,4,Dead,125
82,Caged,24,Nutrient,Crevice,4,Dead,18
83,Partial,24,Nutrient,Crevice,4,Dead,20
84,Open,24,Nutrient,Crevice,4,Dead,222
49,Caged,10,Nutrient,Crown,6,Dead,6
50,Partial,10,Nutrient,Crown,6,Dead,0
51,Open,10,Nutrient,Crown,6,Dead,2
52,Caged,14,Normal,Crown,6,Dead,13
53,Partial,14,Normal,Crown,6,Dead,8
54,Open,14,Normal,Crown,6,Dead,4
55,Caged,15,Nutrient,Crown,6,Dead,40
56,Partial,15,Nutrient,Crown,6,Dead,10
57,Open,15,Nutrient,Crown,6,Dead,11
58,Caged,16,Nutrient,Crown,6,Dead,10
59,Partial,16,Nutrient,Crown,6,Dead,28
60,Open,16,Nutrient,Crown,6,Dead,17
61,Caged,17,Normal,Crown,6,Dead,14
62,Partial,17,Normal,Crown,6,Dead,12
63,Open,17,Normal,Crown,6,Dead,0
64,Caged,18,Nutrient,Crown,6,Dead,10
65,Partial,18,Nutrient,Crown,6,Dead,30
66,Open,18,Nutrient,Crown,6,Dead,24
67,Caged,19,Normal,Crown,6,Dead,21
68,Partial,19,Normal,Crown,6,Dead,5
69,Open,19,Normal,Crown,6,Dead,6
70,Caged,20,Normal,Crown,6,Dead,20
71,Partial,20,Normal,Crown,6,Dead,4
72,Open,20,Normal,Crown,6,Dead,0
73,Caged,21,Nutrient,Crown,6,Dead,4
74,Partial,21,Nutrient,Crown,6,Dead,7
75,Open,21,Nutrient,Crown,6,Dead,1
76,Caged,22,Normal,Crown,6,Dead,7
77,Partial,22,Normal,Crown,6,Dead,18
78,Open,22,Normal,Crown,6,Dead,26
79,Caged,23,Normal,Crown,6,Dead,39
80,Partial,23,Normal,Crown,6,Dead,12
81,Open,23,Normal,Crown,6,Dead,3
82,Caged,24,Nutrient,Crown,6,Dead,40
83,Partial,24,Nutrient,Crown,6,Dead,65
84,Open,24,Nutrient,Crown,6,Dead,71
49,Caged,10,Nutrient,Crevice,6,Dead,3
50,Partial,10,Nutrient,Crevice,6,Dead,8
51,Open,10,Nutrient,Crevice,6,Dead,0
52,Caged,14,Normal,Crevice,6,Dead,6
53,Partial,14,Normal,Crevice,6,Dead,0
54,Open,14,Normal,Crevice,6,Dead,0
55,Caged,15,Nutrient,Crevice,6,Dead,24
56,Partial,15,Nutrient,Crevice,6,Dead,0
57,Open,15,Nutrient,Crevice,6,Dead,6
58,Caged,16,Nutrient,Crevice,6,Dead,8
59,Partial,16,Nutrient,Crevice,6,Dead,5
60,Open,16,Nutrient,Crevice,6,Dead,21
61,Caged,17,Normal,Crevice,6,Dead,2
62,Partial,17,Normal,Crevice,6,Dead,2
63,Open,17,Normal,Crevice,6,Dead,1
64,Caged,18,Nutrient,Crevice,6,Dead,6
65,Partial,18,Nutrient,Crevice,6,Dead,1
66,Open,18,Nutrient,Crevice,6,Dead,13
67,Caged,19,Normal,Crevice,6,Dead,2
68,Partial,19,Normal,Crevice,6,Dead,0
69,Open,19,Normal,Crevice,6,Dead,0
70,Caged,20,Normal,Crevice,6,Dead,2
71,Partial,20,Normal,Crevice,6,Dead,0
72,Open,20,Normal,Crevice,6,Dead,0
73,Caged,21,Nutrient,Crevice,6,Dead,3
74,Partial,21,Nutrient,Crevice,6,Dead,1
75,Open,21,Nutrient,Crevice,6,Dead,0
76,Caged,22,Normal,Crevice,6,Dead,4
77,Partial,22,Normal,Crevice,6,Dead,1
78,Open,22,Normal,Crevice,6,Dead,2
79,Caged,23,Normal,Crevice,6,Dead,9
80,Partial,23,Normal,Crevice,6,Dead,11
81,Open,23,Normal,Crevice,6,Dead,1
82,Caged,24,Nutrient,Crevice,6,Dead,2
83,Partial,24,Nutrient,Crevice,6,Dead,3
84,Open,24,Nutrient,Crevice,6,Dead,24
49,Caged,10,Nutrient,Crown,8,Dead,5
50,Partial,10,Nutrient,Crown,8,Dead,2
51,Open,10,Nutrient,Crown,8,Dead,2
52,Caged,14,Normal,Crown,8,Dead,21
53,Partial,14,Normal,Crown,8,Dead,1
54,Open,14,Normal,Crown,8,Dead,4
55,Caged,15,Nutrient,Crown,8,Dead,10
56,Partial,15,Nutrient,Crown,8,Dead,3
57,Open,15,Nutrient,Crown,8,Dead,2
58,Caged,16,Nutrient,Crown,8,Dead,9
59,Partial,16,Nutrient,Crown,8,Dead,0
60,Open,16,Nutrient,Crown,8,Dead,0
61,Caged,17,Normal,Crown,8,Dead,4
62,Partial,17,Normal,Crown,8,Dead,0
63,Open,17,Normal,Crown,8,Dead,0
64,Caged,18,Nutrient,Crown,8,Dead,15
65,Partial,18,Nutrient,Crown,8,Dead,19
66,Open,18,Nutrient,Crown,8,Dead,8
67,Caged,19,Normal,Crown,8,Dead,22
68,Partial,19,Normal,Crown,8,Dead,2
69,Open,19,Normal,Crown,8,Dead,3
70,Caged,20,Normal,Crown,8,Dead,10
71,Partial,20,Normal,Crown,8,Dead,2
72,Open,20,Normal,Crown,8,Dead,0
73,Caged,21,Nutrient,Crown,8,Dead,3
74,Partial,21,Nutrient,Crown,8,Dead,2
75,Open,21,Nutrient,Crown,8,Dead,0
76,Caged,22,Normal,Crown,8,Dead,13
77,Partial,22,Normal,Crown,8,Dead,5
78,Open,22,Normal,Crown,8,Dead,5
79,Caged,23,Normal,Crown,8,Dead,9
80,Partial,23,Normal,Crown,8,Dead,0
81,Open,23,Normal,Crown,8,Dead,0
82,Caged,24,Nutrient,Crown,8,Dead,9
83,Partial,24,Nutrient,Crown,8,Dead,12
84,Open,24,Nutrient,Crown,8,Dead,20
49,Caged,10,Nutrient,Crevice,8,Dead,0
50,Partial,10,Nutrient,Crevice,8,Dead,2
51,Open,10,Nutrient,Crevice,8,Dead,0
52,Caged,14,Normal,Crevice,8,Dead,2
53,Partial,14,Normal,Crevice,8,Dead,0
54,Open,14,Normal,Crevice,8,Dead,1
