Tile,Nutrient,Caging,Microhabitat,CCA,EAM,Invert,Lobophora,Macroalgae,NCCA,Sand,Thick_turf,Turf,Settlement
1,Ambient,Open,Crevice,40,0,0,16,0,0,40,0,4,33
1,Ambient,Open,Crown,70.83,0,0,12.5,0,16.67,0,0,0,4
2,Ambient,Open,Crevice,16,0,0,48,0,0,0,0,36,26
2,Ambient,Open,Crown,66.67,0,0,33.33,0,0,0,0,0,3
3,Ambient,Open,Crevice,4,0,0,44,0,0,4,0,48,16
3,Ambient,Open,Crown,33.33,0,4.17,12.5,0,41.67,0,0,8.33,2
7,Ambient,Caged,Crevice,0,8,0,20,0,0,20,24,28,8
7,Ambient,Caged,Crown,0,12.5,0,45.83,0,0,4.17,8.33,29.17,0
8,Ambient,Caged,Crevice,0,0,0,56,8,0,20,0,16,4
8,Ambient,Caged,Crown,4.17,0,0,54.17,12.5,12.5,0,0,16.67,0
9,Ambient,Caged,Crevice,0,4,0,12,0,0,16,8,60,11
9,Ambient,Caged,Crown,0,25,0,8.33,0,0,0,4.17,62.5,4
13,Enriched,Open,Crevice,12,24,0,4,0,0,0,0,60,16
13,Enriched,Open,Crown,79.17,4.17,0,4.17,0,8.33,0,0,4.17,2
14,Enriched,Open,Crevice,12,28,0,8,0,0,8,0,44,32
14,Enriched,Open,Crown,83.33,16.67,0,0,0,0,0,0,0,1
15,Enriched,Open,Crevice,12,8,0,0,0,0,0,0,80,8
15,Enriched,Open,Crown,87.5,4.17,0,0,0,4.17,0,0,4.17,1
19,Enriched,Caged,Crevice,0,12,0,0,0,0,40,0,48,19
19,Enriched,Caged,Crown,0,54.17,0,0,0,0,0,0,45.83,2
20,Enriched,Caged,Crevice,0,4,0,0,4,0,40,0,52,14
20,Enriched,Caged,Crown,0,8.33,0,0,0,0,37.5,0,54.17,8
21,Enriched,Caged,Crevice,0,0,0,0,0,0,52,4,44,3
21,Enriched,Caged,Crown,0,0,0,0,0,0,0,0,100,3
25,Ambient,Open,Crevice,4,0,0,36,0,0,16,0,44,6
25,Ambient,Open,Crown,33.33,0,16.67,37.5,0,0,0,0,12.5,2
26,Ambient,Open,Crevice,0,0,0,64,0,0,8,0,28,3
26,Ambient,Open,Crown,4.17,0,0,83.33,0,4.17,0,0,8.33,1
27,Ambient,Open,Crevice,0,0,0,64,0,0,8,0,28,6
27,Ambient,Open,Crown,4.17,0,0,45.83,0,0,0,0,50,2
31,Ambient,Caged,Crevice,0,8,0,12,4,0,8,0,68,9
31,Ambient,Caged,Crown,0,16.67,0,33.33,0,0,0,0,50,1
32,Ambient,Caged,Crevice,4,4,4,44,0,0,12,8,24,8
32,Ambient,Caged,Crown,8.33,8.33,4.17,62.5,0,0,0,0,16.67,2
33,Ambient,Caged,Crevice,8,0,0,44,12,0,4,0,32,2
33,Ambient,Caged,Crown,0,16.67,0,70.83,0,4.17,0,4.17,4.17,3
37,Enriched,Open,Crevice,4,28,0,24,0,0,8,0,36,23
37,Enriched,Open,Crown,75,8.33,0,16.67,0,0,0,0,0,2
38,Enriched,Open,Crevice,12,12,0,44,0,0,0,0,32,11
38,Enriched,Open,Crown,75,0,0,25,0,0,0,0,0,5
39,Enriched,Open,Crevice,0,4,0,32,0,0,0,0,64,11
39,Enriched,Open,Crown,20.83,50,0,16.67,0,4.17,0,0,8.33,3
43,Enriched,Caged,Crevice,0,16,0,12,0,0,4,0,68,11
43,Enriched,Caged,Crown,4.17,29.17,0,37.5,0,4.17,0,0,25,3
44,Enriched,Caged,Crevice,4,0,0,24,0,0,28,0,44,6
44,Enriched,Caged,Crown,4.17,4.17,0,45.83,0,4.17,0,0,41.67,0
45,Enriched,Caged,Crevice,0,4,0,12,0,0,16,8,60,5
45,Enriched,Caged,Crown,0,0,0,8.33,0,4.17,0,4.17,83.33,0
