,1AO_1,1AO_5,1AO_3,1AO_29,1AC_7,1AC_9,1AC_8,1AC_33,1NO_13,1NO_15,1NO_17,1NO_37,1NC_19,1NC_20,1NC_21,1NC_43
asv13803,0,0,0,0,0,0,0,0,0,0,0,0,0.006446028,0,0,0
asv21817,0.059385968,0.008283008,0,0.033769782,0,0.01967803,0,0,0.022749622,0.011937996,0.084451534,0,0.035103317,0.045269582,0,0
asv27966,0.016334995,0.004518004,0.00510087,0,0,0.01101643,0,0,0,0,0.020330925,0.012788892,0,0.006706651,0,0
asv31143,0,0,0,0,0,0,0,0.017513442,0,0,0.026586594,0,0.003683445,0.015329488,0,0
asv36913,0.024475841,0.005271005,0,0,0,0,0,0,0,0.006428152,0.045353602,0.009134923,0,0,0,0
asv40643,0.00362929,0,0,0,0,0,0,0,0,0,0,0,0,0.010539023,0,0
asv30447,0.013791301,0.009116082,0,0,0,0,0.012198593,0,0.015735602,0,0.046917519,0.02009683,0.005525167,0.012455209,0,0
asv37529,0.0454539,0,0,0,0.01919157,0.015444998,0,0,0,0,0,0.043847629,0,0,0.016857721,0
asv51171,0.023227455,0,0,0,0,0.007268234,0,0,0,0.007507991,0,0,0.013812918,0,0,0.010534448
asv18574,0,0,0,0,0,0.005622294,0,0,0,0,0,0,0,0,0,0
asv33954,0,0,0,0.012279921,0.008069885,0,0,0,0.00587087,0,0,0,0,0.011497116,0,0
asv03468,0,0,0,0,0,0,0,0,0,0,0.006255669,0.062117475,0.008287751,0,0,0
asv12130,0,0,0,0,0,0,0,0,0.01174174,0,0,0,0,0,0,0
asv17254,0,0,0,0,0,0,0,0,0.03319938,0,0,0,0,0,0,0
asv49142,0,0.004558041,0.002550435,0,0,0,0,0,0,0.006428152,0,0,0,0,0,0
asv51235,0,0,0,0,0,0,0,0,0,0.00321771,0,0,0,0,0,0
asv07457,0,0,0,0.015349901,0,0,0,0,0,0.007346459,0,0,0,0,0,0
asv24833,0,0,0.006376087,0,0.029315486,0,0.012198593,0,0,0.011019689,0.018767008,0.029231753,0.007465194,0.017603863,0,0
asv26186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023890957,0,0
asv40907,0,0,0,0,0,0,0,0,0,0,0,0,0.022395581,0,0,0
asv54496,0,0,0,0,0,0,0,0,0.008072447,0,0,0,0,0,0,0
asv15916,0,0,0.036981305,0,0,0,0.074546958,0,0.031221053,0.066000213,0.07506803,0.115100027,0.028927625,0,0.087098224,0
asv17552,0,0,0,0.078284495,0,0,0,0,0,0.044078754,0.031278346,0,0.019596133,0.059698587,0,0
asv23194,0,0.012048011,0,0,0,0,0,0,0,0,0,0,0,0.018861282,0,0
asv24154,0,0,0,0,0.010123917,0,0,0,0,0,0,0,0,0,0,0
asv46867,0,0,0,0,0,0.019079115,0,0,0,0,0,0,0.011050334,0,0,0.021068895
asv41287,0,0,0,0,0,0,0,0,0,0,0,0,0.017729835,0,0,0.007022965
asv13580,0,0,0,0.027629822,0.015163939,0,0,0,0,0.031692508,0.012511338,0,0,0.008622837,0.050573163,0
asv19687,0,0.020227847,0.015302609,0.039909743,0,0.014536468,0.010843194,0,0.004179903,0.032162565,0.032842263,0.043847629,0.04635026,0.031435469,0.067430883,0.026336119
asv00055,0,0,0,0,0,0.009993822,0,0,0,0,0.004691752,0,0,0,0,0
asv00932,0,0,0,0,0,0,0,0,0,0,0.018767008,0,0,0,0,0
asv01796,0,0.003012003,0,0.00767495,0,0.003634117,0,0,0,0,0,0.018269846,0,0,0,0
asv02966,0.002840869,0,0,0,0,0,0,0,0,0,0.010947421,0,0.011160926,0.009520814,0.016857721,0.026336119
asv02981,0.047906626,0,0,0,0,0,0,0,0.001393301,0,0,0,0,0,0,0
asv03193,0,0,0,0,0,0,0,0,0.012911792,0,0,0.009134923,0,0,0,0.035114825
asv03353,0,0.005697551,0,0,0.010123917,0,0,0,0,0.005509844,0,0,0,0,0,0
asv04972,0,0,0.003825652,0,0,0,0,0,0.002935435,0.00321771,0,0,0,0,0.011238481,0
asv05369,0,0,0,0,0,0,0,0,0,0.002754922,0,0,0,0,0,0
asv05449,0,0.00113951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv05733,0,0,0,0,0,0,0,0,0.006604729,0,0,0,0,0,0,0
asv06972,0,0,0.008926522,0,0,0,0,0,0,0,0,0,0,0,0,0
asv07326,0,0,0,0,0,0,0,0,0.008072447,0,0,0.036539691,0.003732597,0,0,0
asv09423,0.039772162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv11944,0,0,0,0,0,0.001874098,0,0,0,0,0,0,0,0,0,0
asv12395,0,0.004151513,0,0.019954871,0,0,0.012198593,0.007005377,0.005062595,0,0,0,0,0,0,0
asv16553,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008622837,0,0
asv16790,0,0.012534613,0,0,0.005061958,0.005451176,0,0,0.013645651,0,0,0,0,0.008622837,0.056192403,0
asv18038,0,0,0,0,0,0,0,0,0,0.002754922,0,0,0,0,0,0
asv18273,0,0,0,0.013814911,0,0,0,0,0,0.00536285,0,0,0,0,0,0
asv19109,0,0,0,0,0.017148506,0,0,0,0,0,0,0,0,0,0,0
asv19178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016466675,0.019667341,0
asv19322,0,0.00113951,0.003825652,0,0.00706115,0,0,0.02101613,0,0,0,0,0,0.008622837,0,0
asv19627,0.053704231,0.019371674,0.017853044,0.021489861,0.013128188,0.012862009,0.008132395,0.029772851,0,0.052350789,0.028150511,0.018269846,0,0.011316769,0,0
asv20286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00561924,0
