,1AO_1,1AO_5,1AO_3,1AO_29,1AC_7,1AC_9,1AC_8,1AC_33,1NO_13,1NO_15,1NO_17,1NO_37,1NC_19,1NC_20,1NC_21,1NC_43
ord27_Bacteria_Proteobacteria_Gammaproteobacteria_KI89A clade,0.230945082,0.178875392,0.13389783,0.205688673,0.887969213,0.815326027,0.578755472,0.761834708,0.091877162,0.079936355,0.273685528,0.191833379,0.713609677,0.64279649,0.907507305,1.18512536
ord24_Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales,8.477648869,3.934182274,2.838633987,5.593503922,0.546705801,1.821337124,1.352688434,1.09108741,4.955388442,10.95436996,4.632323043,4.967571024,3.113199962,3.225623602,1.874016633,1.200927031
ord29_Bacteria_Proteobacteria_Gammaproteobacteria_Steroidobacterales,0.647263232,0.596860073,0.153026091,0.494266812,1.671738861,1.653194167,0.656013229,1.241703007,0.343210603,0.257425706,0.631822589,0.537133461,1.362342017,1.559424728,1.505956395,1.037643093
ord14_Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales,4.083488134,5.16860138,8.629396312,5.601178872,2.198332428,3.520830375,4.402336708,4.276782431,4.083122777,2.145506862,1.612398736,2.769708596,1.509925568,1.802772835,2.643852551,5.07233654
ord10_Bacteria_Cyanobacteria_Oxyphotobacteria_Synechococcales,2.042868136,2.882745378,0.985743069,1.54266505,1.912289572,3.024051169,1.176486534,2.359060579,2.148867054,4.108875492,5.515936317,4.342742304,2.932664973,2.604675387,2.236457631,1.18512536
ord20_Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales,2.391040223,1.963229877,3.370399653,3.625646615,2.208167192,1.159622099,1.370308624,1.576209741,2.598098501,1.367614903,0.760063808,2.404311684,1.17070163,0.723212428,0.823218701,1.808413512
ord21_Bacteria_Proteobacteria_Alphaproteobacteria_Thalassobaculales,0.232975507,0.12773756,0.182356092,0.14735905,1.334528671,1.417562957,0.28192304,0.323998669,0.056188846,0.017161121,0.423821588,0.193660364,0.97960487,0.785618729,0.744549337,1.164056465
ord11_Bacteria_Planctomycetes_OM190_unclassified,0.36941541,0.475999611,0.374913923,0.234853485,0.431457672,0.446915151,0.68854281,0.649748682,0.253291154,0.163061345,0.264302024,0.434822326,0.7758365,0.797704473,0.963699708,1.056956247
ord19_Bacteria_Proteobacteria_Alphaproteobacteria_Rhodovibrionales,0.431166642,0.438692968,0.277997399,0.360722673,2.659507748,0.887413557,0.51234091,0.746072611,0.11460617,0.261708718,0.442588596,0.255777839,1.009367341,0.948904075,0.823218701,2.396586839
ord28_Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales,2.007466762,0.778384057,0.739626106,1.24334198,0.737108557,1.06888715,1.257810488,0.812623689,1.592065818,2.004185252,2.424071815,2.099205262,1.48342875,1.432013392,1.845920432,1.176346654
