,CCA,EAM,Invert,Lobophora,Macroalgae,NCCA,Sand,Thick_turf,Turf
1AO_1,70.83,0,0,12.5,0,16.67,0,0,0
1AO_5,,,,,,,,,
1AO_3,33.33,0,4.17,12.5,0,41.67,0,0,8.33
1AO_29,,,,,,,,,
1AC_7,0,12.5,0,45.83,0,0,4.17,8.33,29.17
1AC_9,0,25,0,8.33,0,0,0,4.17,62.5
1AC_8,4.17,0,0,54.17,12.5,12.5,0,0,16.67
1AC_33,0,16.67,0,70.83,0,4.17,0,4.17,4.17
1NO_13,79.17,4.17,0,4.17,0,8.33,0,0,4.17
1NO_15,87.5,4.17,0,0,0,4.17,0,0,4.17
1NO_17,,,,,,,,,
1NO_37,75,8.33,0,16.67,0,0,0,0,0
1NC_19,0,54.17,0,0,0,0,0,0,45.83
1NC_20,0,8.33,0,0,0,0,37.5,0,54.17
1NC_21,0,0,0,0,0,0,0,0,100
1NC_43,4.17,29.17,0,37.5,0,4.17,0,0,25
