Tile,Nutrient_Treatment,Caging_treatment,CCA,EAM,Invert,Lobophora,Macroalgae,NCCA,Sand,Thick_turf,Turf,Settlement
1,Ambient,Open,55.10,0.00,0.00,14.29,0.00,8.16,20.41,0.00,2.04,37
2,Ambient,Open,40.82,0.00,0.00,40.82,0.00,0.00,0.00,0.00,18.37,29
3,Ambient,Open,18.37,0.00,2.04,28.57,0.00,20.41,2.04,0.00,28.57,18
7,Ambient,Caged,0.00,10.20,0.00,32.65,0.00,0.00,12.24,16.33,28.57,8
8,Ambient,Caged,2.04,0.00,0.00,55.10,10.20,6.12,10.20,0.00,16.33,4
9,Ambient,Caged,0.00,14.29,0.00,10.20,0.00,0.00,8.16,6.12,61.22,15
13,Enriched,Open,44.90,14.29,0.00,4.08,0.00,4.08,0.00,0.00,32.65,18
14,Enriched,Open,46.94,22.45,0.00,4.08,0.00,0.00,4.08,0.00,22.45,33
15,Enriched,Open,48.98,6.12,0.00,0.00,0.00,2.04,0.00,0.00,42.86,9
19,Enriched,Caged,0.00,32.65,0.00,0.00,0.00,0.00,20.41,0.00,46.94,21
20,Enriched,Caged,0.00,6.12,0.00,0.00,2.04,0.00,38.78,0.00,53.06,22
21,Enriched,Caged,0.00,0.00,0.00,0.00,0.00,0.00,26.53,2.04,71.43,6
25,Ambient,Open,18.37,0.00,8.16,36.73,0.00,0.00,8.16,0.00,28.57,8
26,Ambient,Open,2.04,0.00,0.00,73.47,0.00,2.04,4.08,0.00,18.37,4
27,Ambient,Open,2.04,0.00,0.00,55.10,0.00,0.00,4.08,0.00,38.78,8
31,Ambient,Caged,0.00,12.24,0.00,22.45,2.04,0.00,4.08,0.00,59.18,10
32,Ambient,Caged,6.12,6.12,4.08,53.06,0.00,0.00,6.12,4.08,20.41,10
33,Ambient,Caged,4.08,8.16,0.00,57.14,6.12,2.04,2.04,2.04,18.37,5
37,Enriched,Open,38.78,18.37,0.00,20.41,0.00,0.00,4.08,0.00,18.37,25
38,Enriched,Open,42.86,6.12,0.00,34.69,0.00,0.00,0.00,0.00,16.33,16
39,Enriched,Open,10.20,26.53,0.00,24.49,0.00,2.04,0.00,0.00,36.73,14
43,Enriched,Caged,2.04,22.45,0.00,24.49,0.00,2.04,2.04,0.00,46.94,14
44,Enriched,Caged,4.08,2.04,0.00,34.69,0.00,2.04,14.29,0.00,42.86,6
45,Enriched,Caged,0.00,2.04,0.00,10.20,0.00,2.04,8.16,6.12,71.43,5
