Tile,Caging,Nutrients,Microhabitat,alive,dead,total,proportion
49,Caged,Nutrient,Side,49,99,148,0.331081081
50,Partial,Nutrient,Side,4,83,87,0.045977011
51,Open,Nutrient,Side,26,62,88,0.295454545
52,Caged,Ambient,Side,12,62,74,0.162162162
53,Partial,Ambient,Side,3,53,56,0.053571429
54,Open,Ambient,Side,0,53,53,0
55,Caged,Nutrient,Side,32,26,58,0.551724138
56,Partial,Nutrient,Side,0,57,57,0
57,Open,Nutrient,Side,22,128,150,0.146666667
58,Caged,Nutrient,Side,16,20,36,0.444444444
59,Partial,Nutrient,Side,7,45,52,0.134615385
60,Open,Nutrient,Side,0,97,97,0
61,Caged,Ambient,Side,9,36,45,0.2
62,Partial,Ambient,Side,0,136,136,0
63,Open,Ambient,Side,0,33,33,0
64,Caged,Nutrient,Side,20,46,66,0.303030303
65,Partial,Nutrient,Side,0,30,30,0
66,Open,Nutrient,Side,0,209,209,0
67,Caged,Ambient,Side,0,98,98,0
68,Partial,Ambient,Side,0,21,21,0
69,Open,Ambient,Side,0,77,77,0
70,Caged,Ambient,Side,63,84,147,0.428571429
71,Partial,Ambient,Side,0,103,103,0
72,Open,Ambient,Side,0,74,74,0
73,Caged,Nutrient,Side,30,97,127,0.236220472
74,Partial,Nutrient,Side,0,77,77,0
75,Open,Nutrient,Side,0,42,42,0
76,Caged,Ambient,Side,64,35,99,0.646464646
77,Partial,Ambient,Side,3,58,61,0.049180328
78,Open,Ambient,Side,0,87,87,0
79,Caged,Ambient,Side,21,89,110,0.190909091
80,Partial,Ambient,Side,0,70,70,0
81,Open,Ambient,Side,0,87,87,0
82,Caged,Nutrient,Side,1,79,80,0.0125
83,Partial,Nutrient,Side,0,9,9,0
84,Open,Nutrient,Side,2,233,235,0.008510638
