,time,nutrients,experiment
T2_54_AO,14d,ambient,exp1
T2_63_AO,14d,ambient,exp1
T2_69_AO,14d,ambient,exp1
T2_72_AO,14d,ambient,exp1
T2_78_AO,14d,ambient,exp1
T2_81_AO,14d,ambient,exp1
T3_54_AO,28d,ambient,exp1
T3_63_AO,28d,ambient,exp1
T3_69_AO,28d,ambient,exp1
T3_72_AO,28d,ambient,exp1
T3_78_AO,28d,ambient,exp1
T3_81_AO,28d,ambient,exp1
T4_54_AO,42d,ambient,exp1
T4_63_AO,42d,ambient,exp1
T4_69_AO,42d,ambient,exp1
T4_72_AO,42d,ambient,exp1
T4_78_AO,42d,ambient,exp1
T4_81_AO,42d,ambient,exp1
T5_54_AO,56d,ambient,exp1
T5_63_AO,56d,ambient,exp1
T5_69_AO,56d,ambient,exp1
T5_72_AO,56d,ambient,exp1
T5_78_AO,56d,ambient,exp1
T5_81_AO,56d,ambient,exp1
T6_54_AO,70d,ambient,exp1
T6_63_AO,70d,ambient,exp1
T6_69_AO,70d,ambient,exp1
T6_72_AO,70d,ambient,exp1
T6_78_AO,70d,ambient,exp1
T6_81_AO,70d,ambient,exp1
T7_1_AO,70d,ambient,exp2
T7_2_AO,70d,ambient,exp2
T7_3_AO,70d,ambient,exp2
T7_25_AO,70d,ambient,exp2
T7_26_AO,70d,ambient,exp2
T7_27_AO,70d,ambient,exp2
T2_51_NO,14d,enriched,exp1
T2_57_NO,14d,enriched,exp1
T2_60_NO,14d,enriched,exp1
T2_66_NO,14d,enriched,exp1
T2_75_NO,14d,enriched,exp1
T2_84_NO,14d,enriched,exp1
T3_51_NO,28d,enriched,exp1
T3_57_NO,28d,enriched,exp1
T3_60_NO,28d,enriched,exp1
T3_66_NO,28d,enriched,exp1
T3_75_NO,28d,enriched,exp1
T3_84_NO,28d,enriched,exp1
T4_51_NO,42d,enriched,exp1
T4_57_NO,42d,enriched,exp1
T4_60_NO,42d,enriched,exp1
T4_66_NO,42d,enriched,exp1
T4_75_NO,42d,enriched,exp1
T4_84_NO,42d,enriched,exp1
T5_51_NO,56d,enriched,exp1
T5_57_NO,56d,enriched,exp1
T5_60_NO,56d,enriched,exp1
T5_66_NO,56d,enriched,exp1
T5_75_NO,56d,enriched,exp1
T5_84_NO,56d,enriched,exp1
T6_51_NO,70d,enriched,exp1
T6_57_NO,70d,enriched,exp1
T6_60_NO,70d,enriched,exp1
T6_66_NO,70d,enriched,exp1
T6_75_NO,70d,enriched,exp1
T6_84_NO,70d,enriched,exp1
T7_13_NO,70d,enriched,exp2
T7_14_NO,70d,enriched,exp2
T7_15_NO,70d,enriched,exp2
T7_37_NO,70d,enriched,exp2
T7_38_NO,70d,enriched,exp2
T7_39_NO,70d,enriched,exp2
