,T2_54_AO,T2_63_AO,T2_69_AO,T2_72_AO,T2_78_AO,T2_81_AO,T3_54_AO,T3_63_AO,T3_69_AO,T3_72_AO,T3_78_AO,T3_81_AO,T4_54_AO,T4_63_AO,T4_69_AO,T4_72_AO,T4_78_AO,T4_81_AO,T5_54_AO,T5_63_AO,T5_69_AO,T5_72_AO,T5_78_AO,T5_81_AO,T6_54_AO,T6_63_AO,T6_69_AO,T6_72_AO,T6_78_AO,T6_81_AO,T7_1_AO,T7_2_AO,T7_3_AO,T7_25_AO,T7_26_AO,T7_27_AO,T2_51_NO,T2_57_NO,T2_60_NO,T2_66_NO,T2_75_NO,T2_84_NO,T3_51_NO,T3_57_NO,T3_60_NO,T3_66_NO,T3_75_NO,T3_84_NO,T4_51_NO,T4_57_NO,T4_60_NO,T4_66_NO,T4_75_NO,T4_84_NO,T5_51_NO,T5_57_NO,T5_60_NO,T5_66_NO,T5_75_NO,T5_84_NO,T6_51_NO,T6_57_NO,T6_60_NO,T6_66_NO,T6_75_NO,T6_84_NO,T7_13_NO,T7_14_NO,T7_15_NO,T7_37_NO,T7_38_NO,T7_39_NO
crown_Caged1_CCA,4.166666667,87.5,16.66666667,0,4.166666667,4.166666667,4.166666667,45.83333333,62.5,0,87.5,91.66666667,37.5,41.66666667,4.166666667,0,0,0,62.5,79.16666667,83.33333333,41.66666667,37.5,50,66.66666667,70.83333333,79.16666667,0,58.33333333,41.66666667,0,4.166666667,0,0,8.333333333,0,0,8.333333333,0,8.333333333,8.333333333,0,41.66666667,0,12.5,0,29.16666667,4.166666667,0,0,0,0,16.66666667,0,0,16.66666667,0,0,70.83333333,4.166666667,41.66666667,0,8.333333333,0,25,0,0.00,0.00,0.00,4.17,4.17,0.00
crown_Caged2_EAM,4.166666667,0,0,0,0,0,25,45.83333333,0,0,0,0,0,20.83333333,8.333333333,0,0,4.166666667,4.166666667,0,4.166666667,0,0,0,0,0,0,0,0,0,12.5,0,25,16.66666667,8.333333333,16.66666667,0,8.333333333,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.17,8.33,0.00,29.17,4.17,0.00
crown_Caged3_Turf,91.66666667,4.166666667,83.33333333,58.33333333,95.83333333,95.83333333,54.16666667,0,33.33333333,91.66666667,12.5,8.333333333,62.5,16.66666667,75,70.83333333,100,95.83333333,29.16666667,0,4.166666667,8.333333333,62.5,45.83333333,29.16666667,4.166666667,8.333333333,0,25,50,29.16666667,16.66666667,62.5,50,16.66666667,4.166666667,83.33333333,83.33333333,33.33333333,91.66666667,83.33333333,8.333333333,58.33333333,100,83.33333333,79.16666667,4.166666667,95.83333333,100,100,0,12.5,45.83333333,100,100,70.83333333,70.83333333,37.5,12.5,87.5,58.33333333,91.66666667,62.5,16.66666667,62.5,100,45.83,54.17,100.00,25.00,41.67,83.33
crown_Caged4_Lobophora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,4.166666667,4.166666667,12.5,0,0,4.166666667,4.166666667,45.83333333,54.16666667,8.333333333,33.33333333,62.5,70.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,8.333333333,4.166666667,0,12.5,0,0.00,0.00,0.00,37.50,45.83,8.33
crown_Caged5_Long_turf,0,0,0,41.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,0,0,91.66666667,0,0,0,20.83333333,54.16666667,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crown_Caged6_Macroalgae,0,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,12.5,29.16666667,0,0,0,0,4.166666667,50,0,0,0,0,0,100,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,4.166666667,79.16666667,29.16666667,0,0,0,12.5,54.16666667,8.333333333,0,0,0,8.333333333,83.33333333,0,0,0.00,0.00,0.00,0.00,0.00,0.00
crown_Caged7_Thick_turf,0,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,8.333333333,0,4.166666667,0,0,4.166666667,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,95.83333333,0,4.166666667,0,0,4.166666667,0,8.333333333,0,8.333333333,0,0,16.66666667,0,0,0,0.00,0.00,0.00,0.00,0.00,4.17
crown_Caged8_Sand,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,0,0,4.166666667,0,4.166666667,0,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,0,0,0,8.333333333,16.66666667,0,0,0,0,0,0,0,0,0,0.00,37.50,0.00,0.00,0.00,0.00
crown_Caged9_NCCA,0,8.333333333,0,0,0,0,0,8.333333333,0,0,0,0,0,20.83333333,0,0,0,0,0,12.5,0,0,0,0,0,12.5,4.166666667,0,12.5,4.166666667,0,12.5,0,0,0,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,4.17,4.17,4.17
crown_Caged10_Inverts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
crown_Caged11_Cyanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crown_Caged12_Bare,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crown_Open1_CCA,12.5,100,66.66666667,75,95.83333333,91.66666667,25,0,95.83333333,91.66666667,100,100,83.33333333,70.83333333,54.16666667,33.33333333,82.60869565,54.16666667,50,79.16666667,100,87.5,95.65217391,91.66666667,50,83.33333333,33.33333333,79.16666667,87.5,66.66666667,70.83333333,66.66666667,33.33333333,33.33333333,4.166666667,4.166666667,4.166666667,0,100,56.52173913,8.333333333,8.695652174,100,45.83333333,95.83333333,86.95652174,100,79.16666667,100,58.33333333,79.16666667,20.83333333,87.5,0,95.83333333,91.66666667,100,70.83333333,91.66666667,75,100,95.83333333,95.83333333,58.33333333,83.33333333,0,79.17,83.33,87.50,75.00,75.00,20.83
crown_Open2_EAM,37.5,0,12.5,0,0,4.166666667,0,8.695652174,0,0,0,0,0,12.5,29.16666667,45.83333333,8.695652174,29.16666667,45.83333333,8.333333333,0,4.166666667,4.347826087,0,37.5,8.333333333,12.5,4.166666667,0,25,0,0,0,0,0,0,0,87.5,0,34.7826087,20.83333333,0,0,4.166666667,4.166666667,8.695652174,0,12.5,0,16.66666667,4.166666667,33.33333333,8.333333333,0,4.166666667,8.333333333,0,4.166666667,4.166666667,4.166666667,0,4.166666667,0,0,16.66666667,0,4.17,16.67,4.17,8.33,0.00,50.00
crown_Open3_Turf,50,0,20.83333333,8.333333333,4.166666667,4.166666667,54.16666667,0,4.166666667,0,0,0,16.66666667,0,16.66666667,20.83333333,8.695652174,16.66666667,0,12.5,0,4.166666667,0,4.166666667,8.333333333,4.166666667,54.16666667,12.5,4.166666667,0,0,0,8.333333333,12.5,8.333333333,50,95.83333333,0,0,4.347826087,4.166666667,0,0,4.166666667,0,0,0,8.333333333,0,20.83333333,16.66666667,45.83333333,0,87.5,0,0,0,0,0,20.83333333,0,0,0,12.5,0,100,4.17,0.00,4.17,0.00,0.00,8.33
crown_Open4_Lobophora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,0,8.333333333,8.333333333,12.5,33.33333333,12.5,37.5,83.33333333,45.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,4.166666667,0,0,4.17,0.00,0.00,16.67,25.00,16.67
crown_Open5_Long_turf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crown_Open6_Macroalgae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
crown_Open7_Thick_turf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
