,caging
crown_Caged1_CCA,caged
crown_Caged2_EAM,caged
crown_Caged3_Turf,caged
crown_Caged4_Lobophora,caged
crown_Caged5_Long_turf,caged
crown_Caged6_Macroalgae,caged
crown_Caged7_Thick_turf,caged
crown_Caged8_Sand,caged
crown_Caged9_NCCA,caged
crown_Caged10_Inverts,caged
crown_Caged11_Cyanobacteria,caged
crown_Caged12_Bare,caged
crown_Open1_CCA,open
crown_Open2_EAM,open
crown_Open3_Turf,open
crown_Open4_Lobophora,open
crown_Open5_Long_turf,open
crown_Open6_Macroalgae,open
crown_Open7_Thick_turf,open
crown_Open8_Sand,open
crown_Open9_NCCA,open
crown_Open10_Inverts,open
crown_Open11_Cyanobacteria,open
crown_Open12_Bare,open
crown_Partial1_CCA,partial
crown_Partial2_EAM,partial
crown_Partial3_Turf,partial
crown_Partial4_Lobophora,partial
crown_Partial5_Long_turf,partial
crown_Partial6_Macroalgae,partial
crown_Partial7_Thick_turf,partial
crown_Partial8_Sand,partial
crown_Partial9_NCCA,partial
crown_Partial10_Inverts,partial
crown_Partial11_Cyanobacteria,partial
crown_Partial12_Bare,partial
crevice_Caged1_CCA,caged
crevice_Caged2_EAM,caged
crevice_Caged3_Turf,caged
crevice_Caged4_Lobophora,caged
crevice_Caged5_Long_turf,caged
crevice_Caged6_Macroalgae,caged
crevice_Caged7_Thick_turf,caged
crevice_Caged8_Sand,caged
crevice_Caged9_NCCA,caged
crevice_Caged10_Inverts,caged
crevice_Caged11_Cyanobacteria,caged
crevice_Caged12_Bare,caged
crevice_Open1_CCA,open
crevice_Open2_EAM,open
crevice_Open3_Turf,open
crevice_Open4_Lobophora,open
crevice_Open5_Long_turf,open
crevice_Open6_Macroalgae,open
crevice_Open7_Thick_turf,open
crevice_Open8_Sand,open
crevice_Open9_NCCA,open
crevice_Open10_Inverts,open
crevice_Open11_Cyanobacteria,open
crevice_Open12_Bare,open
crevice_Partial1_CCA,partial
crevice_Partial2_EAM,partial
crevice_Partial3_Turf,partial
crevice_Partial4_Lobophora,partial
crevice_Partial5_Long_turf,partial
crevice_Partial6_Macroalgae,partial
crevice_Partial7_Thick_turf,partial
crevice_Partial8_Sand,partial
crevice_Partial9_NCCA,partial
crevice_Partial10_Inverts,partial
crevice_Partial11_Cyanobacteria,partial
crevice_Partial12_Bare,partial
