,1AO_17,1AO_20,1AO_23,1AO_22,1AC_17,1AC_20,1AC_23,1AC_22,1NO_16,1NO_18,1NO_21,1NO_10,1NC_16,1NC_18,1NC_21,1NC_10,2AO_17,2AO_20,2AO_23,2AO_22,2AC_17,2AC_20,2AC_23,2AC_22,2NO_16,2NO_18,2NO_21,2NO_10,2NC_16,2NC_18,2NC_21,2NC_10,3AO_17,3AO_20,3AO_23,3AO_22,3AC_17,3AC_20,3AC_23,3AC_22,3NO_16,3NO_18,3NO_10,3NC_16,3NC_18,3NC_21,3NC_10,4AO_17,4AO_20,4AO_23,4AO_22,4AC_17,4AC_20,4AC_23,4AC_22,4NO_16,4NO_18,4NO_21,4NO_10,4NC_16,4NC_18,4NC_21,4NC_10,5AO_17,5AO_20,5AO_23,5AO_22,5AC_17,5AC_20,5AC_23,5AC_22,5NO_16,5NO_18,5NO_21,5NO_10,5NC_16,5NC_18,5NC_21,5NC_10,6AO_17,6AO_20,6AO_23,6AO_22,6AC_17,6AC_20,6AC_23,6AC_22,6NO_16,6NO_18,6NO_21,6NO_10,6NC_16,6NC_18,6NC_21,6NC_10
asv13803,0,0,0.080536913,0,0,0,0,0,0.011353315,0,0.012274959,0,0.016401264,0,0,0.006471933,0,0,0,0,0.00137493,0,0,0,0,0.004561974,0.007312156,0,0,0,0,0,0,0.005207791,0,0,0,0.004196462,0.034334311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004703816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv21817,0,0,0.10917226,0.082596185,0.043247842,0.014485461,0,0.081697261,0.030963587,0.049846423,0.018412439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012558224,0,0.022981062,0,0,0.010493179,0,0,0,0,0.026695561,0,0,0,0,0.019057991,0,0,0,0,0,0,0,0.032695539,0,0,0,0,0,0,0.013417596,0,0,0,0.027399137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008565017,0,0,0,0.008140189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv27966,0.03110033,0,0.161073826,0.053287861,0,0.007917155,0.012719733,0.017871276,0.02299824,0.009417716,0,0,0.020874336,0.001786959,0,0,0,0,0,0,0,0,0,0,0,0,0.005222969,0,0,0,0.013559059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005619951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00518012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv31143,0,0,0.055480984,0,0,0.016626025,0.025439467,0.04340167,0.021304256,0.009254261,0.014320786,0.007172572,0,0,0.019106759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011622051,0,0,0.002368508,0,0,0,0,0,0,0.003811629,0,0,0,0,0,0,0.004317044,0.007702634,0,0,0,0,0.00619406,0,0,0,0.007024939,0,0,0.003606515,0,0,0,0.006511143,0,0,0,0,0,0,0,0,0,0,0.005343165,0.005845333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv36913,0,0,0.051901566,0.063945433,0.006780351,0.011875732,0.066142614,0.04340167,0.02196612,0.01865521,0.016366612,0.019724573,0.038766625,0.143197401,0,0.015101178,0,0,0,0,0.002885725,0,0,0,0,0,0,0,0,0,0.023244102,0,0,0,0,0,0,0,0.006602752,0,0,0,0,0,0,0,0,0.010918759,0.015263535,0,0,0,0,0,0.009392317,0.00523122,0,0.009834914,0,0,0.012966889,0,0.009638554,0,0,0,0,0,0,0,0,0,0.006899167,0,0,0,0,0,0,0.005920137,0,0,0.00800128,0,0,0,0,0,0,0,0,0,0.006039498,0,0
asv40643,0.024460208,0,0,0.018650751,0,0,0.094126027,0,0,0,0,0,0.005771839,0,0,0,0.008099931,0.00259156,0,0,0,0,0,0,0.006556001,0,0,0,0,0.006672691,0,0,0,0,0,0.017836874,0.002817894,0,0,0,0,0.00475336,0,0,0,0,0,0,0.009903387,0,0,0,0,0,0,0,0.007673773,0,0,0,0.001442606,0,0,0,0,0,0,0,0,0,0,0,0,0.010418403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009320533,0
asv20004,0,0,0.023266219,0,0,0,0.027983413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013699568,0,0,0,0,0,0,0,0,0.00725666,0,0,0,0.009053945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv30447,0.021770231,0,0,0.077267398,0.007627894,0.034336994,0.096669974,0.04340167,0.03947283,0.041183129,0.036824877,0,0,0.090210126,0.028660139,0,0.003330003,0.012746852,0.011693779,0,0.008657176,0,0,0.013796909,0.013767603,0,0,0.019680813,0,0,0,0,0.003178518,0.012151512,0,0.006486136,0,0,0.013205504,0,0,0,0,0,0.003028101,0,0,0.01171769,0.005501882,0.009352962,0,0.008698173,0.015269608,0.01238812,0,0.005689022,0,0,0,0,0,0,0.017670683,0,0.009301633,0.005093335,0.023116399,0,0,0,0,0,0,0,0,0,0.005845333,0,0,0.008880206,0,0,0,0,0.00150437,0.0075466,0,0,0,0,0,0.002747555,0,0,0
asv37529,0.036283718,0.008770831,0,0,0,0.059378662,0.08395024,0,0.020758152,0,0,0,0.052811709,0,0,0,0.024380736,0.030352807,0,0,0.005499718,0,0,0.019928869,0.018356804,0,0,0,0.003521933,0,0.029055127,0,0.008456183,0.024229441,0,0.030809145,0,0,0.026411008,0,0,0.0118834,0,0,0,0.011559357,0,0,0,0,0,0,0,0,0,0,0,0.014049877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009928186,0,0,0,0,0.011081714,0,0,0,0,0,0,0,0,0,0,0
asv51171,0,0,0,0,0.007627894,0.00870887,0.035615254,0.028083433,0,0,0,0,0,0.013425297,0.026271794,0,0,0.007774679,0,0,0,0,0.01789469,0,0.011145202,0.006442967,0,0.032204967,0,0,0,0,0,0,0,0,0.009862628,0,0,0,0,0,0,0,0.003584037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020203041,0,0,0.006400592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
