,T1AO_17,T1AO_20,T1AO_23,T1AO_22,T2AO_17,T2AO_20,T2AO_23,T2AO_22,T3AO_17,T3AO_20,T3AO_23,T3AO_22,T4AO_17,T4AO_20,T4AO_23,T4AO_22,T5AO_17,T5AO_20,T5AO_23,T5AO_22,T6AO_17,T6AO_20,T6AO_23,T6AO_22,T1NO_16,T1NO_18,T1NO_21,T1NO_10,T2NO_16,T2NO_18,T2NO_21,T2NO_10,T3NO_16,T3NO_18,T3NO_10,T4NO_16,T4NO_18,T4NO_21,T4NO_10,T5NO_16,T5NO_18,T5NO_21,T5NO_10,T6NO_16,T6NO_18,T6NO_21,T6NO_10,T1AC_17,T1AC_20,T1AC_23,T1AC_22,T2AC_17,T2AC_20,T2AC_23,T2AC_22,T3AC_17,T3AC_20,T3AC_23,T3AC_22,T4AC_17,T4AC_20,T4AC_23,T4AC_22,T5AC_17,T5AC_20,T5AC_23,T5AC_22,T6AC_17,T6AC_20,T6AC_23,T6AC_22,T1NC_16,T1NC_18,T1NC_21,T1NC_10,T2NC_16,T2NC_18,T2NC_21,T2NC_10,T3NC_16,T3NC_18,T3NC_21,T3NC_10,T4NC_16,T4NC_18,T4NC_21,T4NC_10,T5NC_16,T5NC_18,T5NC_21,T5NC_10,T6NC_16,T6NC_18,T6NC_21,T6NC_10
Bacteria_Acidobacteria_Holophagae_Acanthopleuribacterales,0.050677749,1.485597445,0.044742729,2.720345305,0.088028531,0.116954442,0.244270048,0.098005906,0.355664605,1.325773097,0.873101867,0.366466677,0.307918811,0.216838568,0.521895284,0,0.124474794,0.048877146,0.499146866,0.163355885,0.08362194,0.25335167,0.230347067,0.044807169,0.189297181,0.061284328,0.159574468,0.13627887,0.084403353,0.316318859,0.012535124,0.032204967,0.079515127,0.204744461,0.04957273,0.072265647,0.116007694,0.115208992,0.17809439,0.020955562,0.322398227,0.006251042,0.021403693,0.030870402,0.259357958,0.278511405,0.067930388,0.271581507,2.387080845,4.919992877,0.651025045,0.075471702,0.186373731,0.50701621,0.072050527,0.488088579,0.598153602,2.851068325,0.446501497,0.802933758,0.312401362,0.636439654,0.41997075,0.385876405,0.103111053,0.232054941,0.457433817,0.529394878,0.485609517,1.048977436,0.18699968,0.417010218,0.312022617,2.077860043,0.970790007,0.235136792,0.106512601,0.034866153,0.259638927,0.059853601,0.170328566,0.647324009,0.232475725,0.348681211,0.313125301,0,0.141365462,0.822255846,0.274000626,0.159098944,0.301154979,0.34132894,0.205040728,0.227421008,0.102743593
Bacteria_Acidobacteria_Thermoanaerobaculia_Thermoanaerobaculales,0.29913744,0.175697662,0.263087248,0.476926356,0.167748382,0.893000988,0.388493322,0.223453467,0.119614927,0.348382111,0.191579906,0.071347495,0.139883437,0.285166701,0.192671019,0,0.09355979,0.127171843,0.168080067,0.157191512,0.071583212,0.280700412,0.177784649,0.049607937,0.14856292,0.764084084,0.456219313,0.609668627,0.256849242,0.286488808,0.76673178,0.322049667,0.150328341,0.104162553,0,0.112976489,0.122766157,0.130663857,0.18665662,0.123065338,0.117505308,0.050008335,0.064211079,0.059992341,0.134256004,0.12805122,0.08895646,0.66477475,1.03629693,0.424839095,0.426357579,0.18103972,0.610366189,1.464382111,0.377115526,0.11323283,0.642028727,0.305047144,0.313095562,0.269164244,0.35092647,0.173433677,0.614525889,0.232071247,0.622660223,0.114459531,0.33324364,0.196665787,1.313076122,0.182627726,0.335574768,0.528599798,0.776065724,0.704561739,1.266341632,0.326202848,1.177317583,0.30604734,0.898646649,0.465496528,0.56343539,0.142014961,0.644978383,0.399733036,0.721948984,0.762553102,0.157429719,0.618963447,0.726762537,0.467195313,0.054605024,0.95305566,0.916332194,0.253518501,0.015806707
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales,2.031721031,0.225616152,0.250559284,0.050623468,0.156058581,0.129831014,0.092250923,0.084938452,0.083793688,0.114188845,0.078516355,0.123236582,0.102291539,0.200805369,0.044894218,0,0.079734451,0.117287721,0.197366746,0.234246174,0.057989627,0.052843102,0.021643349,0.100816131,0.387797278,0.200173649,0.597381342,0.728016067,0.142028444,0.067794608,0.086701278,0.159235669,0.105748487,0.064628359,0,0.405179091,0.094687771,0.207938181,0.309952736,0.041392339,0.014795595,0.062510418,0.122584788,0.17653301,0.134509179,0.129651861,0.279808501,0.679906798,0.464619701,0.101757867,0.196584033,0.25921519,0.046274812,0.187894242,0.118040226,0.250308644,0.040023679,0.166389351,0.160631636,0.240576833,0.104933864,0.080522779,0.187846342,0.136744179,0.150207852,0.330835084,0.153167884,0.086159682,0.208413559,0.084521923,0.101184758,0.141648316,0.17703118,0.353475042,0.09492169,0.015852679,0.044933382,0.453259985,0.037667824,0.082893738,0.047283476,0.137060951,0.068041676,0.507593854,0.092923097,0.031663105,0.292369478,0.122155938,0.157769605,0.106065963,0.287917397,0.168525718,0.131127743,0.460434337,0
Bacteria_Bacteroidetes_Bacteroidia_Chitinophagales,9.7436467,15.37365844,8.205816555,9.757007354,14.96676009,14.41763223,15.21100774,10.3860126,12.99093633,14.47615847,10.494496,13.88843846,7.956206187,9.695367191,11.39939019,6.44543338,9.506478304,8.269072494,10.49099753,11.58439797,9.361202139,10.66044518,13.43588158,13.42134742,8.085231475,10.28205218,13.99959083,10.68175298,17.29081368,14.1250686,13.98188675,15.35640163,12.21050235,9.061552436,10.82928096,7.397967661,6.285073688,7.73024236,7.950887047,8.050198326,10.8108774,6.851141857,7.240285642,8.385537987,12.57359658,11.9919968,11.42686162,10.15152264,13.78473432,9.051362283,13.89619342,13.85399402,5.521660019,10.57277919,12.30684327,9.760874958,9.645173232,10.67400893,12.3768037,7.986658921,7.446952935,9.764935427,7.454816246,7.437026131,7.708015204,10.44717614,5.75828452,10.09610417,8.183539589,14.17553392,7.806596222,9.524603533,9.043446914,9.090040602,8.16973724,8.685866588,10.48762555,12.33293302,8.373019076,10.59404724,10.14980348,13.95709827,9.537174853,7.539370416,6.389565242,3.992189768,4.78875502,7.472144003,7.296288719,13.93252184,9.90005626,7.665099294,4.536261435,12.35902694,4.090549848
Bacteria_Bacteroidetes_Bacteroidia_Cytophagales,9.067611199,8.771583299,6.414317673,6.413194074,10.2010639,8.669417397,8.724858375,7.01852965,9.290605816,8.928534506,6.932994143,7.624452732,11.93967557,9.516291878,10.5071176,12.92623265,7.072206516,6.315094668,8.234649961,6.632865355,7.240172344,8.764369916,8.246115792,8.847815651,8.240899516,8.761654534,7.463175123,7.766102424,7.610381615,8.263496034,8.399577984,7.07077936,7.694154201,8.235675724,10.1210991,8.943150769,9.416374431,8.27537759,9.147886842,7.109384138,9.868728518,6.755292549,6.868639698,8.055127338,7.985866359,6.709883954,6.348256453,7.02951267,5.435977194,5.438957999,9.137327989,8.982167069,6.760423656,6.504719724,9.058437577,10.49077103,6.759971158,7.869159866,7.536074054,12.08964845,7.69042398,8.372820465,6.11976546,9.360324974,5.412130233,6.695098623,8.256576905,9.491477395,10.00498129,7.379065731,9.361511367,8.410732632,9.865220341,8.734177215,9.513742072,5.801353374,7.393926577,8.730097238,6.804423279,6.122676107,7.940937098,7.498720214,8.709334467,8.716057423,8.03492963,6.625504631,7.012048193,8.107158568,6.526409052,5.644224456,7.340238938,8.83094486,6.884332862,4.643489608,6.643332957
Bacteria_Bacteroidetes_Bacteroidia_Flavobacteriales,12.29028834,7.695354462,11.8639821,8.755195566,11.14168969,10.24631408,9.947507926,13.26346601,8.40079453,5.331529126,5.588794146,7.356899627,14.5593443,8.374875155,6.996015638,10.2826324,18.74997744,13.05466732,12.68113174,10.97412504,14.11056771,10.72646878,9.362294195,10.11201792,10.72675152,10.76303471,10.16571195,9.844355186,9.367113795,9.793209551,9.113035485,9.053173978,8.895408826,9.556496307,14.01373873,9.168231193,11.39975848,11.98033017,7.990273306,12.82212543,11.9788295,13.09593266,16.68515167,11.96908372,13.92383962,15.12765106,12.04955684,11.15785381,6.274374574,8.278002493,7.687201614,10.0404022,8.592981725,10.24023621,12.66862889,8.293013296,8.078696204,10.4217838,8.088755785,7.143241859,9.698849732,6.585834185,7.375652431,9.251029705,9.871598894,13.18793314,10.18566431,7.950181633,7.567439033,9.264206475,8.996477746,7.664669188,9.360678848,9.558156198,9.623764939,11.13787236,8.997848126,9.859373184,9.499017946,9.906308642,10.30914356,9.737932857,7.491671982,9.434681185,7.883603555,3.32462598,7.681927711,9.535303871,8.677925179,14.81893025,11.17582818,13.03286654,7.899980935,11.13058067,6.582364232
Bacteria_Bacteroidetes_Bacteroidia_SM1A07,0,0,0,0,0,0.009329615,0,0,0,0.031334966,0,0.004864602,0.010302038,0.044882643,0,1.016769326,0,0.026392248,0,0.003082187,0.014800343,0.023377004,0.018551442,0.032005121,0,0,0,0,0.006556001,0.021701446,0,0,0,0.045224014,0,0.011378044,0.050689858,0.002809975,0,0.014979478,0.020446614,0,0,0.002871665,0.048929397,0.019207683,0,0,0,0,0,0,0.002461559,0,0,0.003451208,0.023961163,0.052822016,0.024503131,0.012564028,0.049702826,0.035615844,0.03086047,0.026345571,0.018602449,0.081532817,0,0.108231402,0.006017481,0.069428722,0.028178034,0,0,0,0,0,0,0,0,0,0.007621504,0.006605347,0.07796442,0.022005406,0.030068847,0,0.053012048,0.017232111,0.003330003,0,0.014892279,0,0.001426513,0.003728213,0.185164277
Bacteria_Bacteroidetes_Bacteroidia_Sphingobacteriales,0,0,0.005369128,0.119897687,0.030266819,0.196430893,0.11563848,0.010453963,0.037033049,0.091631509,0.020414252,0.113507378,0.008482245,0.1373615,0.022447109,1.142023518,0.013624529,0.521310543,0.359080144,0.089383409,0.114866734,0.080287328,0.42822911,0.294447112,0.009289076,0.116332081,0.042962357,0.052001148,0.090179359,0.074368793,0.040739155,0.073355758,0.08105394,0.043661264,0,0.96102352,0.513494909,0.213558131,0.089047195,0.176480529,0.348508423,0.141690282,0.101181095,0.039485398,0.31392005,0.331332533,0.198938992,0.039834559,0.183062215,0.0381592,0.030636473,0.048924175,0.065153485,0.055175293,0.096578366,0.049306022,0.04913706,0.027731559,0.111625374,0.011597565,0.16785716,0.108396048,0.069771498,0.012635725,0.091027249,0.084668695,0.262869207,0.038470477,0.03518694,0.084521923,0.134486071,0.05449499,0.015266654,0.107475519,0.140225223,0.095504303,0.057023345,0,0.099550677,0.126385387,0.085493503,0.003302674,0.107732653,0.093790829,0.092143066,0,0.208835341,0.127663374,0.079271788,0.032829941,0.289572095,0.087544168,0.055754371,0.046602666,0.07225923
Bacteria_Chloroflexi_Anaerolineae_SBR1031,0.091227634,0.220489002,0.048322148,0.317062773,0.170917922,0.485006784,0.231276961,0.148968978,0.302794701,0.754275551,0.139759112,0.345386736,0.185637601,0.283063875,0.009352962,0,0.044590889,0.121088863,0.002546668,0.126369647,0.049357756,0.236387781,0.021643349,0.028804609,0.267541653,0.173676633,0.198445172,0.243867451,0.190158619,0.182589111,0.259059239,0.094825735,0.150293876,0.336807704,0,0.27113735,0.143289948,0.12223393,0.133570793,0.097221811,0.116307416,0.010418403,0.046698967,0.550808639,0.109675806,0.028811525,0.035582584,0.051903673,0.747907232,0.717392963,0.495289642,0.132650876,0.66924139,0.702366573,0.294334069,0.293793868,1.016245751,0.633864195,0.441056357,0.149931128,0.640621297,0.224534671,0.190529861,0.09022147,0.528151721,0.081532817,0.082793451,0.175795866,0.502219629,0.324503811,0.080691643,0.464913179,0.444311965,0.305708144,0.558743582,0.396136795,0.614501657,0.185952814,0.571743751,0.534346521,1.297679311,0.388064138,0.619462754,0.258451634,0.524560433,0.617430539,0.136546185,0.241427353,0.201674071,0.310621749,0.038058047,0.207882579,0.252436616,0.095069438,0.147905611
Bacteria_Cyanobacteria_Melainabacteria_Vampirovibrionales,0,0.248767393,0,0,0.028223375,0.088810452,0.018190323,0.043122599,0.036313467,0.048620685,0.012562617,0.035673747,0.001850162,0.036170685,0,0,0.001709197,0.029739506,0.003820002,0,0.002592554,0.038255889,0.010821674,0.003200512,0.014410351,0,0,0.019724573,0.113984607,0.041766201,0,0.017891648,0.060033161,0.007687253,0,0.022784001,0.015624009,0.039339656,0,0.006584687,0.011088844,0.004167361,0,0.028716653,0.048467398,0.025610244,0.033965194,0.005989459,0.233292164,1.554351421,0.045954709,0.022686337,0.028243553,0.064122638,0.036791759,0.034796716,0.06847121,0.29448274,0.070786823,0.013301665,0.126567938,0.030970299,0.041594547,0.014426866,0.067936104,0.015679388,0.031047544,0.01550478,0.231167587,0.060372802,0.060198527,0.011543678,0.086473013,0,0,0.035519458,0.026547197,0,0.025560309,0.016903939,0.065338723,0.107336889,0.025515628,0.167511676,0.046231154,0,0.051405622,0.047098807,0.024603341,0.01010152,0.051295628,0.109701018,0.039435954,0.00559232,0.220164841
