,phylum
Bacteria_Acidobacteria_Holophagae_Acanthopleuribacterales,Acidobacteria
Bacteria_Acidobacteria_Thermoanaerobaculia_Thermoanaerobaculales,Acidobacteria
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales,Bacteroidetes
Bacteria_Bacteroidetes_Bacteroidia_Chitinophagales,Bacteroidetes
Bacteria_Bacteroidetes_Bacteroidia_Cytophagales,Bacteroidetes
Bacteria_Bacteroidetes_Bacteroidia_Flavobacteriales,Bacteroidetes
Bacteria_Bacteroidetes_Bacteroidia_SM1A07,Bacteroidetes
Bacteria_Bacteroidetes_Bacteroidia_Sphingobacteriales,Bacteroidetes
Bacteria_Chloroflexi_Anaerolineae_SBR1031,Chloroflexi
Bacteria_Cyanobacteria_Melainabacteria_Vampirovibrionales,Cyanobacteria
Bacteria_Cyanobacteria_Oxyphotobacteria_Eurycoccales,Cyanobacteria
Bacteria_Cyanobacteria_Oxyphotobacteria_Nostocales,Cyanobacteria
Bacteria_Cyanobacteria_Oxyphotobacteria_Phormidesmiales,Cyanobacteria
Bacteria_Cyanobacteria_Oxyphotobacteria_Synechococcales,Cyanobacteria
Bacteria_Cyanobacteria_Oxyphotobacteria_unclassified,Cyanobacteria
Bacteria_Epsilonbacteraeota_Campylobacteria_Campylobacterales,Epsilonbacteraeota
Bacteria_Firmicutes_Bacilli_Bacillales,Firmicutes
Bacteria_Fusobacteria_Fusobacteriia_Fusobacteriales,Fusobacteria
Bacteria_Kiritimatiellaeota_Kiritimatiellae_WCHB1-41,Kiritimatiellaeota
Bacteria_Lentisphaerae_Lentisphaeria_Lentisphaerales,Lentisphaerae
Bacteria_Patescibacteria_Gracilibacteria_Absconditabacteriales (SR1),Patescibacteria
Bacteria_Planctomycetes_BD7-11_unclassified,Planctomycetes
Bacteria_Planctomycetes_Phycisphaerae_Phycisphaerales,Planctomycetes
Bacteria_Planctomycetes_Planctomycetacia_Pirellulales,Planctomycetes
Bacteria_Planctomycetes_vadinHA49_unclassified,Planctomycetes
Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Kordiimonadales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Micavibrionales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Parvibaculales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodovibrionales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_unclassified,Alphaproteobacteria
Bacteria_Proteobacteria_Deltaproteobacteria_Bdellovibrionales,Deltaproteobacteria
Bacteria_Proteobacteria_Deltaproteobacteria_Bradymonadales,Deltaproteobacteria
Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales,Deltaproteobacteria
Bacteria_Proteobacteria_Deltaproteobacteria_PB19,Deltaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Arenicellales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Beggiatoales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Betaproteobacteriales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Cellvibrionales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_SAR86 clade,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Steroidobacterales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_unclassified,Gammaproteobacteria
Bacteria_Verrucomicrobia_Verrucomicrobiae_Opitutales,Verrucomicrobia
Bacteria_Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales,Verrucomicrobia
Bacteria_unclassified_unclassified_unclassified,Bacteria
