,nutrients,herbivore,dominant,treatment
T1AO_17a,ambient,open,Bare,AO
T1AO_17b,ambient,open,Bare,AO
T1AO_20a,ambient,open,Bare,AO
T1AO_20b,ambient,open,Bare,AO
T1AO_23,ambient,open,Bare,AO
T1AO_22,ambient,open,Bare,AO
T1AC_17a,ambient,caged,Bare,AC
T1AC_17b,ambient,caged,Bare,AC
T1AC_20a,ambient,caged,Bare,AC
T1AC_20b,ambient,caged,Bare,AC
T1AC_23,ambient,caged,Bare,AC
T1AC_22,ambient,caged,Bare,AC
T1NO_16a,nutrient,open,Bare,NO
T1NO_16b,nutrient,open,Bare,NO
T1NO_18a,nutrient,open,Bare,NO
T1NO_18b,nutrient,open,Bare,NO
T1NO_21,nutrient,open,Bare,NO
T1NO_10,nutrient,open,Bare,NO
T1NC_16a,nutrient,caged,Bare,NC
T1NC_16b,nutrient,caged,Bare,NC
T1NC_18a,nutrient,caged,Bare,NC
T1NC_18b,nutrient,caged,Bare,NC
T1NC_21,nutrient,caged,Bare,NC
T1NC_10,nutrient,caged,Bare,NC
T2AO_17a,ambient,open,CCA,AO
T2AO_17b,ambient,open,CCA,AO
T2AO_20a,ambient,open,CCA,AO
T2AO_20b,ambient,open,CCA,AO
T2AO_23,ambient,open,CCA,AO
T2AO_22,ambient,open,CCA,AO
T2AC_17a,ambient,caged,CCA,AC
T2AC_17b,ambient,caged,CCA,AC
T2AC_20a,ambient,caged,Turf,AC
T2AC_20b,ambient,caged,Turf,AC
T2AC_23,ambient,caged,Turf,AC
T2AC_22,ambient,caged,Turf,AC
T2NO_16a,nutrient,open,CCA,NO
T2NO_16b,nutrient,open,CCA,NO
T2NO_18a,nutrient,open,CCA,NO
T2NO_18b,nutrient,open,CCA,NO
T2NO_21,nutrient,open,Bare,NO
T2NO_10,nutrient,open,Turf,NO
T2NC_16a,nutrient,caged,Long_turf,NC
T2NC_16b,nutrient,caged,Long_turf,NC
T2NC_18a,nutrient,caged,Turf,NC
T2NC_18b,nutrient,caged,Turf,NC
T2NC_21,nutrient,caged,Turf,NC
T2NC_10,nutrient,caged,Turf,NC
T3AO_17a,ambient,open,Bare,AO
T3AO_17b,ambient,open,Bare,AO
T3AO_20a,ambient,open,CCA,AO
T3AO_20b,ambient,open,CCA,AO
T3AO_23,ambient,open,CCA,AO
T3AO_22,ambient,open,CCA,AO
T3AC_17a,ambient,caged,CCA_EAM,AC
T3AC_17b,ambient,caged,CCA_EAM,AC
T3AC_20a,ambient,caged,Turf,AC
T3AC_20b,ambient,caged,Turf,AC
T3AC_23,ambient,caged,CCA,AC
T3AC_22,ambient,caged,CCA,AC
T3NO_16a,nutrient,open,CCA,NO
T3NO_16b,nutrient,open,CCA,NO
T3NO_18a,nutrient,open,CCA,NO
T3NO_18b,nutrient,open,CCA,NO
T3NO_10,nutrient,open,CCA,NO
T3NC_16a,nutrient,caged,Turf,NC
T3NC_16b,nutrient,caged,Turf,NC
T3NC_18a,nutrient,caged,Turf,NC
T3NC_18b,nutrient,caged,Turf,NC
T3NC_21,nutrient,caged,Long_turf,NC
T3NC_10,nutrient,caged,Turf,NC
T4AO_17a,ambient,open,CCA,AO
T4AO_17b,ambient,open,CCA,AO
T4AO_20a,ambient,open,EAM,AO
T4AO_20b,ambient,open,EAM,AO
T4AO_23,ambient,open,CCA,AO
T4AO_22,ambient,open,CCA,AO
T4AC_17a,ambient,caged,CCA,AC
T4AC_17b,ambient,caged,CCA,AC
T4AC_20a,ambient,caged,Turf,AC
T4AC_20b,ambient,caged,Turf,AC
T4AC_23,ambient,caged,Turf,AC
T4AC_22,ambient,caged,Turf,AC
T4NO_16a,nutrient,open,CCA,NO
T4NO_16b,nutrient,open,CCA,NO
T4NO_18a,nutrient,open,Turf,NO
T4NO_18b,nutrient,open,Turf,NO
T4NO_21,nutrient,open,CCA,NO
T4NO_10,nutrient,open,CCA,NO
T4NC_16a,nutrient,caged,Thick_turf,NC
T4NC_16b,nutrient,caged,Thick_turf,NC
T4NC_18a,nutrient,caged,Macroalgae,NC
T4NC_18b,nutrient,caged,Macroalgae,NC
T4NC_21,nutrient,caged,Turf,NC
T4NC_10,nutrient,caged,Turf,NC
T5AO_17a,ambient,open,CCA,AO
T5AO_17b,ambient,open,CCA,AO
T5AO_20a,ambient,open,CCA,AO
T5AO_20b,ambient,open,CCA,AO
T5AO_23,ambient,open,CCA,AO
T5AO_22,ambient,open,CCA,AO
T5AC_17a,ambient,caged,CCA,AC
T5AC_17b,ambient,caged,CCA,AC
T5AC_20a,ambient,caged,Macroalgae,AC
T5AC_20b,ambient,caged,Macroalgae,AC
