Week,Nutrients,Replicate,Caging,Microhabitat,Carnivore,Corallivore,Detritivore_Grazer,Excavator,Grazer,Omnivore,Scraper,Total,Herbivores
1,Ambient,A,Open,Crevices,0.0078125,0,0,0,0.3359375,0,0,0.34375,0.3359375
1,Ambient,A,Open,Sides,0,0,0.0859375,0,0.1640625,0,0,0.25,0.25
1,Ambient,A,Open,Crowns,0,0,0,0,0.015625,0,0,0.015625,0.015625
1,Ambient,A,Partial,Crevices,0.03125,0,0.0703125,0,0.03125,0,0,0.1328125,0.1015625
1,Ambient,A,Partial,Sides,0.0078125,0,0.40625,0,0.1171875,0,0,0.53125,0.5234375
1,Ambient,A,Partial,Crowns,0,0,0.0703125,0,0.046875,0,0,0.1171875,0.1171875
1,Ambient,B,Open,Crevices,0,0,0.008264463,0,0.165289256,0,0,0.173553719,0.173553719
1,Ambient,B,Open,Sides,0.016528926,0,0.008264463,0,0.404958678,0,0,0.429752067,0.413223141
1,Ambient,B,Open,Crowns,0,0,0.008264463,0,0.074380165,0,0,0.082644628,0.082644628
1,Ambient,B,Partial,Crevices,0.008264463,0,0.140495868,0,0.157024793,0,0,0.305785124,0.297520661
1,Ambient,B,Partial,Sides,0.066115702,0,0.181818182,0,0.247933884,0,0,0.495867768,0.429752066
1,Ambient,B,Partial,Crowns,0,0,0.074380165,0,0.198347107,0,0,0.272727272,0.272727272
1,Ambient,C,Open,Crevices,0.061538462,0,0.269230769,0,0,0,0,0.330769231,0.269230769
1,Ambient,C,Open,Sides,0.023076923,0,0.384615385,0,0.015384615,0,0,0.423076923,0.4
1,Ambient,C,Open,Crowns,0,0,0.307692308,0,0,0,0,0.307692308,0.307692308
1,Ambient,C,Partial,Crevices,0.038461538,0,0.523076923,0,0,0,0,0.561538461,0.523076923
1,Ambient,C,Partial,Sides,0.015384615,0,0.330769231,0,0,0,0,0.346153846,0.330769231
1,Ambient,C,Partial,Crowns,0,0,0.561538462,0,0,0,0,0.561538462,0.561538462
1,Nutrient,D,Open,Crevices,0,0,0.695035461,0,0,0,0,0.695035461,0.695035461
1,Nutrient,D,Open,Sides,0,0,0.716312057,0,0,0,0,0.716312057,0.716312057
1,Nutrient,D,Open,Crowns,0,0,0.177304965,0,0,0,0,0.177304965,0.177304965
1,Nutrient,D,Partial,Crevices,0.106382979,0,0.382978723,0,0,0,0,0.489361702,0.382978723
1,Nutrient,D,Partial,Sides,0.021276596,0,0.326241135,0,0,0,0,0.347517731,0.326241135
1,Nutrient,D,Partial,Crowns,0.007092199,0,0.241134752,0,0,0,0,0.248226951,0.241134752
1,Nutrient,E,Open,Crevices,0,0,0.15942029,0,0,0,0,0.15942029,0.15942029
